,text,label
0,They hid from the gunman in a sauna where they could sweat it out .,1
1,Wal - Mart isn ' t the only saving place !,1
2,Can honeybee abuse lead to a sting operation ?,1
3,A ditch digger was entrenched in his career .,1
4,"She was only a Blacksmith ' s daughter , but she knew how to forge ahead .",1
5,"86 of Borg : You will be assimilated . Would you believe , stood close to ?",0
6,Did you hear about the new pinata ? It ' s a huge hit .,1
7,A bank manager who was also a high jumper spent most of his time in the vault .,1
8,A discussion of digging a new mine shaft was too deep for him .,1
9,She was suspected of stealing a brooch but they couldn ' t pin it on her .,1
10,Once ice cream was invented the problem was licked .,1
11,"Precepts teach , examples move .",0
12,Diligent youth makes easy age .,0
13,"' ' There ' s room for one more , ' ' Tom admitted .",1
14,They threw a party for the inventor of the toaster . And he was toasted .,1
15,If you ' re a gardener you might call yourself a ' plant manager ' .,1
16,You have two choices for dinner : Take it or Leave it .,0
17,My advanced geometry class is full of squares .,1
18,Jesus changes grave situations . Happy Easter .,1
19,I got angry when my cell phone battery died . My counselor suggested I find an outlet .,1
20,A cowboy who was also an artist could draw fast .,1
21,' ' Angel dust ? Me ? Never touch it ! ' ' Tom snorted .,1
22,The fire chief was always asked burning questions .,1
23,OLD MECHANICS never die they just retire,1
24,Some diets cause a gut reaction .,1
25,"If you leave alphabet soup on the stove and go out , it could spell disaster .",1
26,OLD BUNGEE JUMPERS sometimes die but they can still bounce back,1
27,The gunman took a shot at new opportunities .,1
28,"My name is Sandy , I just hang around the beach .",1
29,I ' ve struck oil ! Tom gushed .,1
30,Getting rid of your boat for another could cause a whole raft of problems .,1
31,I ' ve met zucchini with more potential .,0
32,My name is John . I ' m a plumber,1
33,"' ' Pretend we were in the days before railways , ' ' Tom coached .",1
34,Stick em up ! < BANG > Okay . . . . DON ' T stick em ' up !,0
35,Meaning of life : < deleted for lack of space >,0
36,What if there were no hypothetical questions ?,0
37,"OLD STATISTICIANS never die , they just get broken down by age , sex and marital status .",1
38,Did you hear about the crime that happened in a parking garage ? It was wrong on so many levels .,1
39,Time is money .,0
40,Two astronauts who were dating put an end to it because they both needed their space .,1
41,"A wise man changes his mind , but a fool never does .",0
42,Luggage salespeople have to make a good case for you to buy .,1
43,A kettle on the stove was singing ' Home on the Range ' .,1
44,Musical mechanics always sing in parts .,1
45,Hubble wanted to bring the idea into better focus .,1
46,The decision to begin construction on the Empire State Building was a groundbreaking historical event .,1
47,"OLD QUILTERS never die , they just go under cover .",1
48,Discretion is the better part of valor .,0
49,When cannibals ate a missionary they got a taste of religion .,1
50,"OLD GUITARISTS never die , they just fret their lives away",1
51,One evening King Arthur ' s men discovered Sir Lancelot ' s moonshine whiskey operation and shattered the still of the knight .,1
52,He stole an invention and then told patent lies .,1
53,Better to be alone than in bad company .,0
54,"I made a batch of fish eye soup , it should see me through the week .",1
55,Elvis Stamps : Where will your mail be spotted next ?,0
56,It ' s easy to be wise after the event .,0
57,"When he kicked the invoice , it didn ' t mean he wanted to foot the bill .",1
58,A big enough hammer can usually fix anything .,0
59,"Even though the well was a mystery to her , she didn ' t want to get to the bottom of it .",1
60,"Old math teachers never die , they just become irrational .",1
61,Careless stair dancers are heading for a heavy landing .,1
62,"OLD LOGICIANS never die , they just vacate the premises .",1
63,Why do those that pay the least complain the most ?,0
64,"If all appears to go well , you missed something . . .",0
65,"Riker to Holodeck : "" Woman , 23 , hot . """,0
66,Lawyers have to like alcohol because they ' re always being called to the bar .,1
67,"I ' ll have one brain on drugs with bacon , toast and juice .",0
68,Baseball players are expected to perform well right off the bat .,1
69,Vines are extremely short - tempered . They snap at the slightest wind .,1
70,The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .,1
71,"OLD ACADEMICIANS never die , they just lose their faculties",1
72,Bring me a rubber band and make it snappy !,1
73,An electric company is always looking for high energy employees .,1
74,When a thief stole several volumes from the library he was quickly booked .,1
75,The inept mathematician couldn ' t count on his friends .,1
76,"The phone call interrupted my nap , and I never did get the rest .",1
77,"When potato chips don ' t sell fast enough , the maker knows it will soon be crunch time .",1
78,Misfortunes never come singly .,0
79,"Save the whales , spouted Tom .",1
80,OLD HIKERS never die they just get the boot .,1
81,Come in for a free makeover this Sunday,1
82,Superglue ! Tom rejoined .,1
83,96 . 37 % of all statistics are useless . .,0
84,"Admitting a mistake : ' ' Like the orthopedist ' s patient , I stand corrected . ' '",1
85,"For every 45 I collected , I would write down the song and the artist so I could keep records .",1
86,"' ' There , there , ' ' was Tom ' s pat answer .",1
87,A contest held by fire fighters is called a ' match ' .,1
88,Willful waste makes woeful want .,0
89,No one chills out in the fires of hell .,1
90,"A lot of trees were dying , but they needed to figure out the root of the problem .",1
91,"OLD PILOTS never die , they just get more turbulent .",1
92,A guy became so good with a chainsaw that he was promoted to branch manager .,1
93,Zeal without knowledge is a runaway horse .,0
94,"I ' m NOT "" white , "" I ' m "" melanin - challenged . """,0
95,Don ' t argue with a bomb inventor - he might blow up at you .,1
96,Don?€?t let adversity get you down unless you are on your knees,1
97,"She was only a Wrestler ' s daughter , but you oughtta see her box . .",1
98,"OLD DOOR FRAMERS never die , they just become unhinged .",1
99,I was against the construction of tennis courts in the park as I thought they would cause too much racket .,1
100,One swallow does not make a summer .,0
101,The ignorant always adore what they cannot understand .,0
102,"I ' m dying , Tom croaked .",1
103,"In a recession , the most secure job is garbage - man . Business is always picking up .",1
104,Suicidal dyslexic jumps behind train - film at 11,0
105,Wilbur Wright said he ' d take a flier on it .,1
106,A man brought his retriever to the vet for some tests and had to pay a lab fee .,1
107,They replaced the baseball with an orange to add zest to the game .,1
108,If you operate a drill press you have a boring job .,1
109,Figure skaters don ' t like to be in a rut .,1
110,"Garbage in , garbage out .",0
111,A thief who stole a calendar got twelve months .,1
112,OLD PRINTERS never die they ' re just not the type,1
113,Cross river * THEN * insult alligator .,0
114,"A play , based on billiards , started right on cue .",1
115,"My father slept under the bed , I think he was a little potty .",1
116,Is coffee your daily grind ?,1
117,Backup not found : ( A ) bort ( R ) etry ( P ) anic,0
118,Some people find fire drills quite Alarming .,1
119,"Old math profs never die , they just can ' t differentiate .",1
120,A bad settlement is better than a good lawsuit .,0
121,Little by little and bit by bit .,0
122,Barking dogs seldom bite .,0
123,The inventor of glass decided to see it through .,1
124,A noun and a verb were dating but they broke up because the noun was too possessive .,1
125,Hell ! . . . I?€?d forgotten about that !,1
