location	score
12.0	"[[ 0.29225936  0.23805152  0.2246868   0.22399724  0.14957207  0.08446432
   0.04220527  0.02820773 -0.06083068 -0.06579077]
 [ 0.37190584  0.37190584  0.05467594  0.05467594 -0.09656921 -0.09656921
  -1.         -1.         -1.         -1.        ]
 [ 0.36383053  0.32160192  0.28100109  0.19042974  0.13290679 -0.02606137
  -0.03256327 -0.09482924 -0.09482924 -0.0980587 ]
 [ 0.13743576  0.13743576  0.00571703  0.00571703 -0.02584913 -0.02584913
  -0.05131007 -0.05131007 -0.05156627 -0.05156627]
 [ 0.26246147  0.25943406  0.00646334  0.00646334 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.03604655  0.02078296  0.01046232  0.00761767  0.00761767 -0.01985037
  -0.01985037 -0.02335673 -0.02335673 -0.02792356]
 [ 0.3101524   0.3101524   0.09954837  0.08528138  0.04873883  0.00261999
  -1.         -1.         -1.         -1.        ]
 [ 0.28538173  0.22623968 -0.01817006 -0.01817006 -0.13901581 -0.13901581
  -1.         -1.         -1.         -1.        ]
 [ 0.12851942  0.12851942  0.11304443  0.06697813 -0.03213954 -0.03213954
  -1.         -1.         -1.         -1.        ]
 [ 0.34852892  0.30987718  0.26686884  0.26012103  0.24264537  0.15011855
   0.09802053  0.09337886 -0.0350426  -0.0456847 ]
 [ 0.22727212  0.22108958  0.07026721  0.01406214 -0.1024211  -0.1024211
  -1.         -1.         -1.         -1.        ]
 [ 0.34841407  0.24354195 -0.03793032 -0.05134639 -0.11731638 -0.11731638
  -0.12061591 -0.12061591 -0.17415479 -0.17415479]
 [ 0.40019341  0.40019341  0.18393756  0.18393756  0.10753698  0.10753698
   0.09544072  0.09544072  0.05160212  0.05131702]
 [ 0.37197655  0.32798448  0.05266346  0.03965538 -0.01236383 -0.01236383
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
9.0	"[[ 0.12858095  0.12296053  0.10021722  0.0931455   0.0931455   0.09167065
   0.08926243  0.08926243  0.06052788  0.03201549]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.23672137  0.23672137  0.08299249  0.07663847  0.01604315  0.01604315
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.61329952  0.48406485  0.47959333  0.47556557  0.46805397  0.46805397
   0.28810565  0.28038584  0.27645163  0.15505229]
 [ 0.40048699  0.34319677  0.32832567  0.31329553  0.31329553  0.28073885
   0.26581469  0.26440685  0.26440685  0.26041669]
 [ 0.39010604  0.39010604  0.21197897  0.21197897  0.17636007  0.12493922
   0.0667637   0.05428016  0.05428016 -0.05455246]
 [ 0.18588712  0.18588712  0.15970372  0.15739558 -0.07686323 -0.08486465
  -1.         -1.         -1.         -1.        ]
 [ 0.22625206  0.22625206  0.17179604  0.15886462  0.15559609  0.14315155
   0.14315155  0.1376923   0.12245337  0.12151551]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
7.0	"[[ 0.33183534  0.33183534  0.29368013  0.1357739   0.1357739   0.10799827
   0.10799827  0.075745    0.075745   -0.06442838]
 [ 0.23436764  0.23176773  0.17872096  0.17872096 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.2662571   0.22187937  0.18236802  0.17947605  0.07053945  0.07053945
  -1.         -1.         -1.         -1.        ]
 [ 0.24710188  0.22755493  0.13908678  0.13908678  0.12502868  0.11560723
   0.01323361 -1.         -1.         -1.        ]
 [ 0.23870202  0.23870202  0.17742357  0.17742357  0.15306863  0.15306863
   0.05732257  0.05732257  0.04180418  0.04180418]
 [ 0.28517352  0.25188754  0.25188754  0.23864302  0.15607197  0.13637509
  -1.         -1.         -1.         -1.        ]
 [ 0.34870305  0.34294361  0.31402344  0.25408228  0.16440129  0.13066696
   0.12452645  0.04894302  0.04645086  0.04645086]
 [ 0.24861856  0.15009007  0.09915177  0.06475047  0.05845149  0.04989889
   0.04970658  0.04612563  0.01001726 -0.02693776]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
5.0	"[[ 0.20725019  0.20725019 -0.00973208 -0.05939918 -0.09237003 -0.12126116
  -1.         -1.         -1.         -1.        ]
 [ 0.20546474  0.20355894  0.15789843  0.15628391 -0.00930617 -0.01108662
  -1.         -1.         -1.         -1.        ]
 [ 0.15900303  0.14325264  0.12831857  0.12008913  0.00817675 -0.00474345
  -0.01778991 -0.02458125 -1.         -1.        ]
 [ 0.28522941  0.24977982  0.21877272  0.18914293  0.17295791  0.16436062
   0.15904124  0.15053398  0.15053398  0.13764602]
 [ 0.13058276  0.00895727 -0.00969205 -0.08442392 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.18705343  0.18705343  0.1597177   0.1597177   0.14538503  0.14538503
   0.12952798  0.11838915  0.11518336  0.11518336]
 [ 0.1899721   0.18522389  0.11419926  0.11205542  0.11105784  0.11105784
   0.08750703  0.07952384  0.07143531  0.07143531]
 [ 0.08875045  0.05893275  0.02309177  0.01023441  0.01023441 -0.00817764
  -0.03831993 -0.03831993 -0.11629547 -0.15698116]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
15.0	"[[ 0.49570643  0.49261158  0.43437113  0.28666128  0.24238368  0.1671429
   0.1076303   0.02497213 -0.1563885  -0.1563885 ]
 [ 0.3276175   0.29957336  0.27270069  0.23265212  0.23265212  0.22212369
   0.22008688  0.20490974  0.18537921  0.17739796]
 [ 0.09582415  0.09582415  0.03941152  0.03941152 -0.00551584 -0.0285906
  -0.04862095 -0.10195167 -0.10195167 -0.17080777]
 [ 0.1757248   0.1757248   0.12483449  0.11254675  0.10063062  0.09423821
  -1.         -1.         -1.         -1.        ]
 [ 0.42028151  0.4090722  -0.01258144 -0.02754798 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.60864853  0.54919827  0.54548125  0.50890206  0.50404597  0.50404597
   0.49883029  0.49717068  0.49717068  0.48614837]
 [ 0.14771131  0.10705697  0.10366419  0.08952454 -0.06966192 -0.06966192
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.17715168  0.17715168  0.1142506   0.1142506  -0.04329254 -0.04329254
  -1.         -1.         -1.         -1.        ]
 [ 0.49570643  0.49261158  0.43437113  0.28666128  0.24238368  0.1671429
   0.1076303   0.02497213 -0.1563885  -0.1563885 ]
 [ 0.19477476  0.19477476  0.09890461  0.08304108 -0.01830348 -0.01830348
  -1.         -1.         -1.         -1.        ]
 [ 0.36174652  0.36174652  0.25128101  0.2381969   0.00363181 -0.00448166
  -0.07763366 -0.07763366 -1.         -1.        ]
 [ 0.25653275  0.25653275  0.14429858  0.14429858  0.09654648  0.09654648
   0.04071121  0.04071121 -0.09547154 -0.09547154]
 [ 0.23028611  0.0837663   0.06117092  0.05938683  0.05382447  0.05352919
   0.05245656 -0.1433735  -0.20740119 -0.2111448 ]
 [ 0.08994831  0.08994831  0.05132628  0.05132628  0.03977673  0.03896071
  -0.1223286  -0.1223286  -0.13112973 -0.15056967]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
14.0	"[[ 0.09833556  0.0935154   0.03510963  0.01678615  0.01678615  0.00860923
  -1.         -1.         -1.         -1.        ]
 [ 0.39831011  0.39355236  0.33679318  0.26920616  0.2345011   0.11334986
   0.11334986 -1.         -1.         -1.        ]
 [ 0.17431164  0.16648728  0.11100126  0.08378344  0.02656882  0.02656882
  -1.         -1.         -1.         -1.        ]
 [ 0.52291369  0.52291369  0.08069055  0.0787456   0.06925937  0.06048594
   0.06048594  0.00439959  0.00439959 -0.1204292 ]
 [ 0.61763169  0.61763169  0.29707945  0.29707945  0.26558709  0.26558709
   0.12712422  0.10460192  0.10460192  0.09942836]
 [ 0.36943643  0.36943643  0.09221411  0.09221411  0.03104353  0.0271225
   0.02705301 -0.00217184 -0.00466005 -0.01228287]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.45867703  0.45867703  0.11526595  0.11526595 -0.06103758 -0.06103758
  -0.07502596 -0.07502596 -0.07815021 -0.07815021]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.34684915  0.33733392  0.15149972  0.15149972  0.13088231  0.13088231
   0.11662159  0.11640896  0.11640896  0.11335839]
 [ 0.54281642  0.54281642  0.07744336  0.07617219  0.06703899  0.05351446
  -1.         -1.         -1.         -1.        ]
 [ 0.2672229   0.25810608  0.05368046  0.05329658  0.03115976  0.03115976
  -1.         -1.         -1.         -1.        ]
 [ 0.12961483  0.11147839  0.10993132  0.07739383  0.05440123  0.05394342
   0.05394342  0.04455547  0.0274966   0.0274966 ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
17.0	"[[ 0.43294238  0.43294238  0.05204551  0.01847563  0.00912396 -0.00268689
  -1.         -1.         -1.         -1.        ]
 [ 0.15398281  0.04418868  0.00440408 -0.04223072 -0.04223072 -0.05901498
  -0.06425446 -1.         -1.         -1.        ]
 [ 0.16719991  0.09271211  0.07294744  0.04052267 -0.01028246 -0.01028246
  -1.         -1.         -1.         -1.        ]
 [ 0.28809641  0.28809641  0.15888459  0.13500485  0.12034799  0.11041617
   0.10770439  0.09774904  0.09424727  0.07360148]
 [ 0.27705209  0.23257716  0.17870578  0.15720673  0.14247446  0.13349625
   0.1283835   0.12083567  0.11844979  0.11844979]
 [ 0.16539995  0.08816897  0.08816897  0.02834475  0.02834475 -0.03793496
  -0.03793496 -1.         -1.         -1.        ]
 [ 0.43610427  0.43610427  0.11567222  0.11490312  0.08760101  0.04927664
  -1.         -1.         -1.         -1.        ]
 [ 0.30462064  0.30120286  0.09475974  0.05744114  0.05744114  0.0263443
   0.01514407  0.01480683  0.01245616  0.01155315]
 [ 0.20006576  0.18955534  0.08276964  0.07840243 -0.05025211 -0.06330845
  -0.0687129  -1.         -1.         -1.        ]
 [ 0.14577345  0.14577345  0.04421852  0.04421852 -0.07717152 -0.08103769
  -1.         -1.         -1.         -1.        ]
 [ 0.16976292  0.16345631  0.11921314  0.10099533  0.03098014  0.03098014
  -0.05206118 -0.05206118 -0.07756864 -0.08020252]
 [ 0.51966075  0.51966075  0.18360942  0.0538155   0.0538155  -0.03507286
  -0.03507286 -0.13827513 -0.14485901 -0.16259155]
 [ 0.10537012  0.10537012  0.09395094  0.09124819 -0.00407833 -0.00407833
  -0.00609191 -0.00609191 -0.00803276 -0.02285702]
 [ 0.18815877  0.16464736  0.16042975  0.15876145  0.14624637  0.1439472
   0.10857147  0.07590677  0.07590677  0.07085675]
 [ 0.24590616  0.24590616  0.24014268  0.24014268  0.19311507  0.19311507
   0.19270199  0.19270199  0.18591969  0.18591969]
 [ 0.53679623  0.53679623  0.29877581  0.29877581  0.18380561  0.18380561
   0.03936373  0.03936373  0.01866575  0.0177677 ]
 [ 0.2174271   0.21018246 -0.05594351 -0.05594351 -0.05681245 -0.05966592
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
11.0	"[[ 0.53754266  0.53754266  0.07796754  0.03796365  0.02917728  0.00793566
  -1.         -1.         -1.         -1.        ]
 [ 0.10137588  0.08280875 -0.02543912 -0.03759025 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.58208512  0.58208512  0.19951361  0.03515412  0.03515412 -0.0841657
  -0.0841657  -0.11450289 -0.12251563 -0.15540334]
 [ 0.49543696  0.49265244  0.25325523  0.23801377 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.53754266  0.53754266  0.07796754  0.03796365  0.02917728  0.00793566
  -1.         -1.         -1.         -1.        ]
 [ 0.35901035  0.35901035  0.20860397  0.20860397  0.08287094  0.07145482
   0.01142186  0.01092533  0.00839086  0.00829372]
 [ 0.44004774  0.23351904 -0.07249171 -0.07249171 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.43812262  0.40038877  0.36210492  0.33601086 -0.02079053 -0.02079053
  -1.         -1.         -1.         -1.        ]
 [ 0.37856778  0.24813047  0.24497609  0.22239213  0.2175577   0.1908234
   0.13719706  0.13719706  0.09812493  0.08788854]
 [ 0.26436864  0.2498914  -0.02682669 -0.04477925 -0.08030723 -0.08030723
  -1.         -1.         -1.         -1.        ]
 [ 0.56915628  0.46759692  0.42773665  0.16200643  0.10736923  0.05242373
   0.05242373 -0.0238375  -0.03284778 -0.08535526]
 [ 0.52933877  0.52933877  0.07731499  0.06201749  0.04724094  0.04682275
   0.04663635  0.04478507  0.04438728  0.02640227]
 [ 0.34836004  0.34065457  0.23764484  0.07721868  0.06535182  0.05949637
   0.05925423  0.00157823  0.00157823 -0.00173994]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
13.0	"[[ 0.4741687   0.41331681  0.39969439  0.38546175  0.37764608  0.15904766
   0.14427138  0.03512825  0.03512825 -0.00978628]
 [ 0.2232299   0.1829775   0.11390967  0.09132942  0.07577596  0.06566973
   0.05632648  0.05444227  0.05386041  0.04561701]
 [ 0.23286703  0.21045572  0.08409861  0.08409861 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.23688694  0.23688694  0.14753302 -0.02221986 -0.02221986 -0.03816451
  -0.03816451 -0.12246722 -0.1388573  -0.18240171]
 [ 0.39257808  0.39207698  0.32290122  0.32290122  0.02293854  0.01662916
  -1.         -1.         -1.         -1.        ]
 [ 0.50601993  0.50601993  0.15360474  0.13604374  0.10352999  0.09450294
  -1.         -1.         -1.         -1.        ]
 [ 0.44141759  0.42870016  0.02272685 -0.00981225 -0.09778331 -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.5071514   0.5071514   0.06865153  0.06865153  0.00143578  0.00143578
  -1.         -1.         -1.         -1.        ]
 [ 0.38844527  0.32251898  0.27822556  0.20777149  0.1896379   0.18579502
   0.15666128  0.12317729  0.08419657  0.01468549]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.45449471  0.389046    0.24531524  0.24531524  0.22425284  0.21556063
   0.19886205  0.19316164  0.17530544  0.16710104]
 [ 0.31694686  0.16724538  0.15968357  0.10596647  0.07805777  0.06576722
   0.05614163  0.05359454 -1.         -1.        ]
 [ 0.51982191  0.51982191  0.16210885  0.16210885  0.15768853  0.15768853
   0.13263396  0.13263396  0.08417746  0.08417746]
 [ 0.34113036  0.34113036  0.05862891  0.05862891  0.00838978  0.00838978
  -0.03998455 -0.03998455 -0.04676496 -0.04676496]
 [ 0.40656587  0.35997009  0.09063983  0.09063983  0.06993301  0.06993301
  -0.01198112 -0.04810296 -0.04810296 -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
9.0	"[[ 0.39141651  0.37711147  0.26116971  0.26116971  0.23822682  0.10895813
   0.10009018  0.02130806  0.01971862  0.01967075]
 [ 0.32260881  0.09399006  0.08743357  0.06073435  0.06073435  0.01853834
   0.01245408  0.01245408 -0.02943001 -0.03010325]
 [ 0.31732089  0.29356256  0.13217619  0.10520455  0.03120441  0.03120441
   0.00409966 -0.00802674 -0.13776325 -0.13776325]
 [ 0.08195173  0.07205635  0.07082121  0.01786474  0.00861933 -0.08455236
  -0.10822995 -0.11649451 -0.11649451 -0.1260647 ]
 [ 0.20686403  0.17350264  0.05311151  0.05067052  0.00699403 -0.00196026
  -0.02838109 -0.02838109 -1.         -1.        ]
 [ 0.47234131  0.47234131  0.21224315  0.21224315  0.13973161  0.13973161
  -0.02441305 -0.03471134 -0.04402757 -0.04776586]
 [ 0.12355732  0.0772492   0.0282121   0.02185065 -0.07728188 -0.08096961
  -0.13816748 -0.13816748 -1.         -1.        ]
 [ 0.08195173  0.07205635  0.07082121  0.01786474  0.00861933 -0.08455236
  -0.10822995 -0.11649451 -0.11649451 -0.1260647 ]
 [ 0.4194015   0.4194015  -0.00318596 -0.00318596 -0.01990987 -0.01990987
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"
