,text
0,They hid from the gunman in a sauna where they could sweat it out .
1,Wal - Mart isn ' t the only saving place !
2,Can honeybee abuse lead to a sting operation ?
3,A ditch digger was entrenched in his career .
4,"She was only a Blacksmith ' s daughter , but she knew how to forge ahead ."
5,"86 of Borg : You will be assimilated . Would you believe , stood close to ?"
6,Did you hear about the new pinata ? It ' s a huge hit .
7,A bank manager who was also a high jumper spent most of his time in the vault .
8,A discussion of digging a new mine shaft was too deep for him .
9,She was suspected of stealing a brooch but they couldn ' t pin it on her .
10,Once ice cream was invented the problem was licked .
11,"Precepts teach , examples move ."
12,Diligent youth makes easy age .
13,"' ' There ' s room for one more , ' ' Tom admitted ."
14,They threw a party for the inventor of the toaster . And he was toasted .
15,If you ' re a gardener you might call yourself a ' plant manager ' .
16,You have two choices for dinner : Take it or Leave it .
17,My advanced geometry class is full of squares .
18,Jesus changes grave situations . Happy Easter .
19,I got angry when my cell phone battery died . My counselor suggested I find an outlet .
20,A cowboy who was also an artist could draw fast .
21,' ' Angel dust ? Me ? Never touch it ! ' ' Tom snorted .
22,The fire chief was always asked burning questions .
23,OLD MECHANICS never die they just retire
24,Some diets cause a gut reaction .
25,"If you leave alphabet soup on the stove and go out , it could spell disaster ."
26,OLD BUNGEE JUMPERS sometimes die but they can still bounce back
27,The gunman took a shot at new opportunities .
28,"My name is Sandy , I just hang around the beach ."
29,I ' ve struck oil ! Tom gushed .
30,Getting rid of your boat for another could cause a whole raft of problems .
31,I ' ve met zucchini with more potential .
32,My name is John . I ' m a plumber
33,"' ' Pretend we were in the days before railways , ' ' Tom coached ."
34,Stick em up ! < BANG > Okay . . . . DON ' T stick em ' up !
35,Meaning of life : < deleted for lack of space >
36,What if there were no hypothetical questions ?
37,"OLD STATISTICIANS never die , they just get broken down by age , sex and marital status ."
38,Did you hear about the crime that happened in a parking garage ? It was wrong on so many levels .
39,Time is money .
40,Two astronauts who were dating put an end to it because they both needed their space .
41,"A wise man changes his mind , but a fool never does ."
42,Luggage salespeople have to make a good case for you to buy .
43,A kettle on the stove was singing ' Home on the Range ' .
44,Musical mechanics always sing in parts .
45,Hubble wanted to bring the idea into better focus .
46,The decision to begin construction on the Empire State Building was a groundbreaking historical event .
47,"OLD QUILTERS never die , they just go under cover ."
48,Discretion is the better part of valor .
49,When cannibals ate a missionary they got a taste of religion .
50,"OLD GUITARISTS never die , they just fret their lives away"
51,One evening King Arthur ' s men discovered Sir Lancelot ' s moonshine whiskey operation and shattered the still of the knight .
52,He stole an invention and then told patent lies .
53,Better to be alone than in bad company .
54,"I made a batch of fish eye soup , it should see me through the week ."
55,Elvis Stamps : Where will your mail be spotted next ?
56,It ' s easy to be wise after the event .
57,"When he kicked the invoice , it didn ' t mean he wanted to foot the bill ."
58,A big enough hammer can usually fix anything .
59,"Even though the well was a mystery to her , she didn ' t want to get to the bottom of it ."
60,"Old math teachers never die , they just become irrational ."
61,Careless stair dancers are heading for a heavy landing .
62,"OLD LOGICIANS never die , they just vacate the premises ."
63,Why do those that pay the least complain the most ?
64,"If all appears to go well , you missed something . . ."
