,text,detection,location
1,They hid from the gunman in a sauna where they could sweat it out .,1,12
2,Wal - Mart isn ' t the only saving place !,1,9
3,Can honeybee abuse lead to a sting operation ?,1,7
4,A ditch digger was entrenched in his career .,1,5
5,"She was only a Blacksmith ' s daughter , but she knew how to forge ahead .",1,15
7,Did you hear about the new pinata ? It ' s a huge hit .,1,14
8,A bank manager who was also a high jumper spent most of his time in the vault .,1,17
9,A discussion of digging a new mine shaft was too deep for him .,1,11
10,She was suspected of stealing a brooch but they couldn ' t pin it on her .,1,13
11,Once ice cream was invented the problem was licked .,1,9
14," ' ' There ' s room for one more , ' ' Luke admitted to his friend .",1,14
15,They threw a party for the inventor of the toaster . And he was toasted .,1,15
18,My advanced geometry class is full of squares .,1,8
20,I got angry when my cell phone battery died . My counselor suggested I find an outlet .,1,17
21,A cowboy who was also an artist could draw fast .,1,9
22, ' ' Angel dust ? Me ? Never touch it ! ' ' Matt snorted .,1,15
23,The fire chief was always asked burning questions .,1,7
24,Old mechanics never die they just retire,1,7
25,Some diets cause a gut reaction .,1,5
26,"If you leave alphabet soup on the stove and go out , it could spell disaster .",1,15
27,Old bungee jumpers sometimes die but they can still bounce back,1,10
28,The gunman took a shot at new opportunities .,1,5
30,I ' ve struck oil ! Carl gushed .,1,8
31,Getting rid of your boat for another could cause a whole raft of problems .,1,12
34," ' ' Pretend we were in the days before railways , ' ' David coached .",1,15
39,Did you hear about the crime that happened in a parking garage ? It was wrong on so many levels .,1,20
41,Two astronauts who were dating put an end to it because they both needed their space .,1,16
43,Luggage salespeople have to make a good case for you to buy .,1,8
44,A kettle on the stove was singing ' Home on the Range ' .,1,12
45,Musical mechanics always sing in parts .,1,6
46,Hubble wanted to bring the idea into better focus .,1,9
47,The decision to begin construction on the Empire State Building was a groundbreaking historical event .,1,13
48,"Old quilters never die , they just go under cover .",1,10
50,When cannibals ate a missionary they got a taste of religion .,1,9
51,"Old guitarists never die , they just fret their lives away",1,8
53,He stole an invention and then told patent lies .,1,8
55,"I made a batch of fish eye soup , it should see me through the week .",1,12
58,"When he kicked the invoice , it didn ' t mean he wanted to foot the bill .",1,15
60,"Even though the well was a mystery to her , she didn ' t want to get to the bottom of it .",1,20
61,"Old math teachers never die , they just become irrational .",1,10
62,Careless stair dancers are heading for a heavy landing .,1,9
63,"Old logicians never die , they just vacate the premises .",1,10
67,Lawyers have to like alcohol because they ' re always being called to the bar .,1,15
69,Baseball players are expected to perform well right off the bat .,1,11
70,Vines are extremely short - tempered . They snap at the slightest wind .,1,9
71,The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .,1,21
72,"Old academics never die , they just lose their faculties",1,10
74,An electric company is always looking for high energy employees .,1,9
75,When a thief stole several volumes from the library he was quickly booked .,1,13
76,The inept mathematician couldn ' t count on his friends .,1,7
77,"The phone call interrupted my nap , and I never did get the rest .",1,14
78,"When potato chips don ' t sell fast enough , the maker knows it will soon be crunch time .",1,18
80,"Save the whales , spouted Peter .",1,5
81,Old hikers never die they just get the boot .,1,9
83,Superglue ! James rejoined .,1,4
86,"For every 45 I collected , I would write down the song and the artist so I could keep records .",1,20
87,How do trees get online ? They just log in .,1,9
88,A contest held by fire fighters is called a match .,1,10
91,"A lot of trees were dying , but they needed to figure out the root of the problem .",1,15
92,"Old pilots never die , they just get more turbulent .",1,10
93,A guy became so good with a chainsaw that he was promoted to branch manager .,1,14
96,Don ' t argue with a bomb inventor - he might blow up at you .,1,12
99,"Old door framers never die , they just become unhinged .",1,10
100,I was against the construction of tennis courts in the park as I thought they would cause too much racket .,1,20
104,"In a recession , the most secure job is garbage - man . Business is always picking up .",1,17
106,Wilbur Wright said he ' d take a flier on it .,1,9
107,A man brought his retriever to the vet for some tests and had to pay a lab fee .,1,17
108,They replaced the baseball with an orange to add zest to the game .,1,10
109,If you operate a drill press you have a boring job .,1,10
110,Figure skaters don ' t like to be in a rut .,1,11
113,I keep hearing music coming from the printer . I think the paper is jamming .,1,15
115,"A play , based on billiards , started right on cue .",1,11
117,Is coffee your daily grind ?,1,5
119,Some people find fire drills quite Alarming .,1,7
120,The math professor could not differentiate between fantasy and reality .,1,6
124,The inventor of glass decided to see it through .,1,7
125,A noun and a verb were dating but they broke up because the noun was too possessive .,1,17
128,A baseball player can sell himself to a new team if he has a good pitch .,1,16
130,Use your own toothbrush ! Jason bristled .,1,7
135,The couple grew fruit trees and lived to a ripe old age .,1,10
136,The plumber had to quit his job because it was too much of a drain .,1,15
137,Finding area is an integral part of calculus .,1,5
138,"If you sing while playing baseball , you won ' t get a good pitch .",1,15
140,"Some commands given by the army are specific , others are General .",1,12
141,"If a horse could predict the weather , it would probably say that the weather is stable .",1,6
142,"He was only a weatherman '  s son , but he sure had a warm front .",1,16
144,"Old locomotive engineers , never die , they just get derailed",1,11
145,A doctor who became a bartender was always giving out shots !,1,11
147,"Old statisticians never die , they just average out .",1,8
148,A little boy fired his light - colored crayons because they wouldn ' t show up .,1,15
149,"With certain cashiers , things are slow to register .",1,9
152,The comedian stopped at the fabric store on his way to a comedy gig . He was looking for new material .,1,21
154,Someone who sells old chess pieces is a pawn broker .,1,9
156,The model who joined the air force was a bombshell .,1,10
157,"Old plumbers never die , they just pipe down .",1,8
159,"The surgeon really did not know how to perform quick surgeries on insects , but he did one on the fly .",1,21
161,We went to the owls convention and it was a real hoot .,1,12
162,Old gardeners never die they are just deflowered .,1,8
163,In the air duct installers union they have lots of opportunity to vent .,1,13
164,"He and his partner made knives , and they shared a cut .",1,12
165,A baseball player was a thief . He was always trying to steal .,1,13
167,The fault line had a splitting headache .,1,6
169,"Old divers never die , they just flop .",1,8
170,"For a while , Houdini used a lot of trap doors in his act , but he was just going through a stage .",1,23
173,Animals are slaughtered for meat at a tender age .,1,8
174," ' ' I make the armour out of chain links , ' ' Sammy replied by mail .",1,17
175,He became an astronaut and had a blast .,1,8
177,A janitor with a broom in hand swept her off her feet .,1,8
178,I couldn ' t figure out how to fasten my seatbelt . Then it clicked .,1,15
179,"Old photographers never die , they just lose their focus .",1,10
181,The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .,1,17
185,Math class is full of drama . There are so many problems to work out .,1,14
186,"Her exam was on the human skeleton , so she decided to bone up .",1,13
188,"The first duck wouldn ' t go in the water . The other duck said ' ' What are you , chicken ? ' ' .",1,22
191,The trigonometry teacher lost his sense of identity .,1,8
196,I took up teaching fencing as I wanted my students to get the point .,1,14
201,Our Boy Scouts ' knot - tying class went off without a hitch .,1,13
202,"I used to have a fear of hurdles , but I got over it .",1,13
203,Balloons ' favorite kind of music is pop music .,1,8
206,"She was only a Gardener ' s daughter , but she knows all the rakes .",1,15
207,A locksmith has to have a good Combination of skills .,1,8
209,Do you know how to make a hotdog stand ? You take his seat away .,1,9
214,"When you ' re wearing a watch on an airplane , time flies .",1,13
217,The mathematician worked at home because he only functioned in his domain .,1,12
218,I couldn ' t stand to be without my legs .,1,5
219,"Even after retiring , the baker keeps making lots of dough .",1,11
220,In equations with square numbers I can never find the root of the problem .,1,11
222,Airline pilots make many friends in high places .,1,7
223,What lies at the bottom of the ocean and twitches ? A nervous wreck .,1,14
224,His business plan to manufacture scissors just didn ' t cut it .,1,11
225,The carpenter was well - known for nailing his work .,1,8
226,Salespeople selling security equipment like to see people get alarmed .,1,10
228,We ' ve got children ' s church because we know how to kid around .,1,14
229,What it boils down to is this : eggs taste good .,1,3
233,There was a massive outcry against the plan to build a power line across a nature preserve . The public couldn ' t bear the tension .,1,24
234,A tailor sometimes decides to suit himself .,1,6
235,A woman who became queen considered it her crowning achievement .,1,9
236,"Even though Catholics in space are weightless , do they have mass ?",1,12
238,Convicts are committed people .,1,3
240,Why should you never invite a watch to dinner ? They always ask for second helpings .,1,15
242,"I heard some pretty juicy rumor about butter , but I decided not to spread it .",1,15
243,"A new type of broom came out , it is sweeping the nation .",1,11
245,What is a computer ' s favorite kind of cookie ? Chocolate chip .,1,13
246,Pills with long names can be quite a mouthful .,1,9
250,A lingerie thief gave a police officer the slip .,1,9
251,We ' ll never run out of math teachers because they always multiply .,1,13
254,The race dogs got a bad case of the fleas - they had to be scratched .,1,16
255,A lawyer asked his dentist to give him a retainer .,1,10
258,An astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation .,1,14
259,The weatherman who forecasted snow in July was a bit of a flake .,1,13
260,"Two brothers collaborated on haunted stories , but one was a ghost writer .",1,12
261,What kind of tree fits in your hand ? A palm tree .,1,11
266,Cowboys in a rodeo can be sure to get a few bucks .,1,12
267,What do trees drink ? Root beer .,1,6
269,He bought a rope factory to tie into his empire .,1,7
270,He took a nail to the volleyball game because he wanted to spike it .,1,13
272,Pharmacists find their work to be very encapsulating .,1,8
273,Towels tell bad jokes because they have a dry sense of humour . ,1,9
274,A basketball player couldn ' t control his saliva but he could sure dribble .,1,14
276,If you work in a forestry company you will probably have to log your time .,1,13
277,The government thinks that flood defenses are a drain on the country .,1,9
279,A man giving a speech by candle - light can wax eloquent .,1,11
282,How long will I have to wait for a table ? asked Wilfred without reservation .,1,19
283,"The designer wondered why his pirate room wasn ' t perfect , and the judge told him he went a little overboard .",1,22
284,Pizza jokes are way too cheesy for me .,1,6
285,If there ' s one person you don ' t want to interrupt in the middle of a sentence it ' s a judge .,1,19
286,Rabbits like their beer brewed with a lot of hops .,1,10
288,Some people really enjoy blowing air out of their lungs - I ' m not a fan myself .,1,17
289,An old spice wholesaler is a seasoned veteran .,1,7
293,If you go for a job interview at a rubber stamp company try to make a good impression .,1,18
294,Two blasting technicians got married and then lost their spark .,1,10
296,Studying fungus is a way to mold young minds .,1,7
298,A mechanic who was also a musician was good at tuning things .,1,11
300,A gambling gardener usually hedges his bets .,1,5
301,"I watched a movie about a baby hen , it was a real chick flick .",1,14
303,How does a card player party ? They shuffle .,1,9
305,If a town ' s people have low IQs is the population dense ?,1,13
306,Alley cats like to go bowling .,1,1
308,Insect puns really bug me .,1,4
310,What do skeletons order at a restaurant ? Spare ribs .,1,10
315,"A boating accident between the yacht , Red Dawn , and the schooner , Blue Lagoon , left the survivors marooned .",1,21
319,Trophy shops often will give customers floss with their purchase to eliminate plaque problems .,1,13
320,Scientists have created a flea from scratch .,1,7
323,The plot to his story of the pond was quite shallow .,1,11
324,"If you sight a whale , it could be a fluke .",1,11
325,A person who would make a banking joke is of no account .,1,12
327,He bought a plate with four corners so he could have a square meal .,1,13
330,Two companies that made shoelaces had common ties .,1,8
334,Why was the car embarrassed ? Because it had gas !,1,10
338,I was arrested after my therapist suggested I take something for my kleptomania .,1,9
341,Did you hear about the budding romance between the florist and her neighbor ?,1,6
342,"When entering a funeral home , remember to stay alert and always look alive !",1,14
344,Taxidermists really know their stuff .,1,5
345,Two blackberries met . They were both in a jam .,1,10
346,Two surgeons were joking about sutures and had each other in stitches .,1,12
348,My boyfriend and I started to date after he backed his car into mine . We met by accident .,1,19
349,Some burglars are always looking for windows of opportunity .,1,7
353,Dry cleaners are often pressed for time .,1,5
354,Cousteau was submerged in his work .,1,3
355,I went to the store to buy some soup but they were out of stock .,1,15
356,Sports are refereed by people of many stripes .,1,8
357,My new expensive vacuum cleaner really sucked .,1,7
358,A restaurant owner gave his cooks a stirring speech .,1,8
361,The Easter story is not a dead issue .,1,7
362,"Be true to your teeth , or they will be false to you .",1,11
363,The French eat snails because they dislike fast food .,1,8
364,"Five brothers wanted to buy a horse , so they all had to pony up .",1,14
365,He couldn ' t decide whether to accept a job in mattress sales so he decided to sleep on it .,1,18
366,"When the plums dry on your tree , it ' s time to prune .",1,14
367,If you get sick at the airport it could be a terminal illness .,1,12
368,The dentist ' s favourite shopping centre was ' The Gap ' .,1,11
369,Before he was hired as a short order cook they grilled him .,1,11
371,Business at the candle factory tapered off after the holidays .,1,6
374,Pencil sharpeners have a tough life - they live off tips .,1,10
375,Two referees went head to head because they had a score to settle .,1,11
378,A circus lion won ' t eat clowns because they taste funny .,1,12
386,Two florists got married . It was an arranged marriage .,1,9
387,My geometry teacher got distracted and started to go off on a tangent .,1,13
388,The photograph that I took of the sandstorm turned out grainy .,1,11
389,The owner of the hair salon had to make cuts on his staff .,1,10
391,"It ' s a fact , taller people sleep longer in bed .",1,10
394,For the office drunk : He generally found him loaded with work to do .,1,10
399,Two pencils decided to have a race . The outcome was a draw .,1,13
400,"Waiter , there ' s a fly in my soup ! Force of habit , sir , the chef used to be a tailor .",1,7
401,You know what happens after you miss math class ? It starts adding up .,1,13
402,"I crossed a cell phone with a skunk , and now the service stinks .",1,14
403,The teddy bear left the restaurant feeling stuffed .,1,8
404,I wanted to bring a penguin home but my parents said that wasn ' t going to fly .,1,18
405,"He collects mouthwash bottles , and they ' re all in mint condition .",1,12
406,Early nuclear experimenters discovered an element of surprise .,1,6
409,"After a long day of work , the old auto mechanic is exhausted .",1,13
411,Two companies that manufactured rulers decided to align .,1,8
412,"Waiter , there are pennies in my soup ! ' ' Well , sir , you said you ' d stop eating here if there wasn ' t some change in the food . ' ' ",1,30
414,I tried to pack myself in a suitcase . I could hardly contain myself .,1,13
416,The river crested when a factory spilled toothpaste into it .,1,3
418,The Alpine Skiing competition started poorly and went downhill from there .,1,8
422,"If you wear a blindfold at the shooting range , you won ' t know what you ' re missing .",1,20
423,When a letter carrier became a hero they called him a deliverer .,1,12
424," ' ' I ' ve run out of wool , ' ' said Nancy , knitting her brow .",1,9
426,Librarians are always going by the book .,1,7
428,The prospector didn ' t think his career would pan out .,1,10
429,To write with a broken pencil is pointless .,1,8
430,The ice at the rink has many ruts . I think the maintenance crew is slipping up .,1,16
431,There was a contest on a slippery rock slope . I won in a landslide .,1,15
432,"Doctor , doctor , I keep thinking I ' m a deck of cards . - I ' ll deal with you later . Next !",1,20
433,The farmer turned into a vegetable after a car accident .,1,6
434,When a priest makes a mistake in church it ' s a clerical error .,1,13
437,In the old days a suspended sentence was hanging .,1,9
438,The first time I got hold of a hang glider I had to wing it .,1,14
440,The coffee tasted like mud because it was ground a couple of minutes ago .,1,9
442,What do you call friends you meet at culinary school ? Taste buds .,1,13
443,Where does a two dimensional shape live ? A flat .,1,10
447,I know road rage is an awful thing but when someone bumped my car I just couldn ' t help it . I got out my camera and snapped at the offender .,1,29
451,"I tried hard to get into vexillology , but , in the end , had to flag it away .",1,17
452,An archaeologist ' s career ended in ruins .,1,8
454,The president went through his cabinet to look for his shirt .,1,6
457,"I ' ve spotted more blackbirds than you have , Jimmy crowed .",1,12
463,The lumberjack is heartsick and just wants to pine away .,1,9
464,Early stone tools had many problems that were eventually ironed out .,1,10
467,He was facinated by his new welding job . It was riveting .,1,12
468,Bridge tolls have increased significantly over a 5 year span .,1,10
473,"Did you see guys that Bob the ventriloquist hangs out with ? They ' re nothing special , just a bunch of dummies .",1,23
478,We were so poor when I was growing up we couldn ' t even afford to pay attention .,1,17
481,"I was going to buy some loose tea , but the price was too steep .",1,15
482,The sergeant drank whiskey in order to be fortified in his position .,1,9
483,"Old coupon clippers never die , they just expire .",1,9
485,"He was the only electrician in town , but he certainly had good connections .",1,14
486,The harm caused by sibling rivalry is relative .,1,8
487,"When the woman got paid for being in a study at the sleep clinic , she said it was her dream job .",1,21
488,A carpenter sat on his drill and was bored to tears .,1,9
490,A library should have several floors because it is a multi story building .,1,12
493,Two cooks disagreed but decided to hash it over .,1,7
495,"The tongue weighs very little , but few people can hold it .",1,11
496,She ' s a composer who has scores of works to her credit .,1,8
497,When he fell in the wet concrete he left a bad impression .,1,12
500,There was a report of shots fired in a local bar . The police don ' t know what triggered the commotion .,1,20
502,A goat that ate office supplies was on a staple diet .,1,10
504,"The bargain store promised a free abacus with every purchase , but I wouldn ' t count on it .",1,17
505,Illusionists always find themselves in tricky situations .,1,6
506,The orange squeezer was invented with some juicy information .,1,8
511,Why didn ' t the little boy ask the flight attendant for a snack ? He didn ' t have the nuts .,1,22
512,Why did the agricultural presentation go so smoothly ? They planted questions .,1,11
513,"I couldn ' t quite remember how to throw a boomerang , but eventually it came back to me .",1,16
514,Every morning I get hit by the same bike . It ' s a vicious cycle .,1,16
516,When buying a battery you should never have to charge it .,1,10
520,The wrestler lost his grip and fell down the stairs .,1,5
522,In the office she was frantically looking for her false nails only to discover she had filed them away .,1,17
523,What did one bone say to another bone ? Let ' s meet up and share a joint .,1,18
525,Gunpowder was invented in a flash .,1,6
526,The frog went unnoticed in the milkshake because it blended so well .,1,10
529,Low carb diets really go against the grain .,1,8
531,A wig van blew up on the motorway - police are combing the area .,1,12
535,He had a difficult time bouncing back from his bungee cord accident .,1,6
538,A tattle tale pig is a squealer .,1,7
540,Bike sales go in cycles .,1,5
542,A waiter who played tennis was great at serving .,1,9
543,An old professor who was never on time died and was called the late professor Brown .,1,14
544,Two cooks had a contest and the heat was on .,1,8
545,When cave men got together they formed clubs .,1,8
546,My friend was fired from his job at the road department for stealing . I have to say I saw it coming . The last time I was at his house all the signs were there .,1,34
547,My skiing skills are really going downhill .,1,7
548,"Doctor , doctor , I keep thinking I ' m a spoon . - Sit there and don ' t stir . Next .",1,21
549,Baseball is known for its pitched battles .,1,6
550,Reassembling the skeletons of prehistoric mammals can be a mammoth undertaking .,1,10
553,Graveyard workers really dig their jobs .,1,4
554,"I ' m blind enough to look at the situation in the wrong fashion , so I changed my clothes .",1,14
555,"Before he sold Christmas trees , he got himself spruced up .",1,10
556,My girlfriend walked out on me for being too oldfashioned . I thought we had good alchemy .,1,17
558,Her decision to take up rock climbing was precipitous to say the least .,1,9
559,How did the hipster burn his tongue ? He drank coffee before it was cool .,1,15
563,"If pride goes before a fall , humility should arrive by that winter",1,6
565,The psychiatrist told the genie his emotions were all bottled up .,1,10
566,"After they had it out in the boxing ring , they called it square .",1,14
569,"Power corrupts , especially at the electric company .",1,1
570,What did the coat say to the hanger ? We should hang out sometime .,1,12
571,A politician with a bad back needs lots of support .,1,10
572,She had two different jobs as a chef which gave her a full plate .,1,14
575,The two guys caught drinking battery acid will soon be charged .,1,11
576,I ' m addicted to having money in the bank . I really do suffer from withdrawals .,1,17
579,A baseball player joined the army and did the round of military bases .,1,13
580,If word processing a presentation about guns - - be sure to know how to use bullets .,1,17
582,A case of disappearing bison had police completely buffaloed .,1,9
586,A tatoo artist has designs on his clients .,1,5
587,Dentists practice by going through many drills .,1,7
588,"My boss is going to fire the employee with the worst posture . I have a hunch , it might be me .",1,17
590,I woke up this morning and forgot which side the sun rises from . Then it dawned on me .,1,17
593,Three fingers were willing to cooperate but the thumb and forefinger were opposed .,1,13
594,Those who build roofs are so inclined .,1,7
595,A skier who makes it to the olympics finds that it is all downhill from there .,1,14
596,When the human cannonball retired they couldn ' t find a replacement of the right caliber .,1,16
597,A horse is a very stable animal .,1,6
598,What ' s blue and not very heavy ? Light blue .,1,10
599,"You really are addicted to soccer , you should think of kicking the habit .",1,12
600,"Just so everyone is clear , I am going to put my glasses on .",1,5
602,A magician was walking down the street and turned into a grocery store .,1,9
604,I wanted to lose weight so I went to the paint store . I heard I could get thinner there .,1,19
607,"If you want to catch a squirrel , just climb a tree and act like a nut .",1,17
609,"I used to be addicted to soap , but I ' m clean now .",1,13
612,Some cardiologists are heartless .,1,4
614,"I went to buy some property with a hill on it , but it was a little steep .",1,18
615,I find that movies about submarines always go down well .,1,9
620,If you invite an insomniac to your pajama party they will be up for it .,1,13
621,Army dentists make a good drill corps .,1,6
622,Dermatologists often make rash statements .,1,4
623,I have very sensitive teeth . They ' ll probably be upset I ' ve told you .,1,4
624,A young sailor thought all of the waves were just swell .,1,11
625,"My son identifies as a crescent moon . I ' m worried , but my wife says it 's just a phase .",1,23
627,Backups are usually a good thing unless it ' s a sewer .,1,1
628,The Vikings landed during thunder and lightning and took the city by storm .,1,13
630,Seafood operations start out on a small scale .,1,8
635,I might study something at a university that someone once told me about - there is a degree of ambiguity there .,1,18
636,What has four wheels and flies ? Garbage truck .,1,6
637,What streets do ghosts haunt ? Dead ends .,1,7
640,"After they vacated the city , the old sewage pipes wasted away .",1,11
650,What happened to the stuttering prisoner ? He didn ' t finish his sentence .,1,14
655,"I was going to buy a book on phobias , but I was afraid it wouldn ' t help me .",1,14
656,The aluminum foiled my plans .,1,3
657,The waitress always dishes out complements to her guests .,1,4
658,The hypnotist went out of business because he ran out of suggestions .,1,12
659,For class schedules yoga instructors are flexible .,1,7
660,Hockey players are terrible chess players because they are always getting checked .,1,12
661,I do a lot of spreadsheets in the office so you can say I ' m excelling at work .,1,17
662,He bent over to pick up a sieve and strained himself .,1,10
663,"When they told him that his drum couldn ' t be fixed , it didn ' t resonate very well .",1,18
664,"A fisherman tried boxing , but he only threw hooks .",1,10
666,Winning candy as a prize is always a sweet victory .,1,9
667,"During his lifetime , the composer Bach was a noted success .",1,10
671,Lightning storms can be very striking .,1,6
672,Refusing to go to the gym counts as resistance training .,1,9
673,High on a ladder he saw a beautiful girl below . He fell for her .,1,13
674,"When underwear fell in the vat at a beer - makers , a scandal was brewing .",1,16
675,"Pencils could be made with erasers at both ends , but what would be the point ?",1,16
676,The burglar tried to steal away without being noticed .,1,5
677,Lumberjacks have to keep problem logs .,1,6
680,"Apparently , they ' re not making shortbread any longer .",1,10
681,Molecules boiling points vary to some degree .,1,7
684,Keep the dream alive : hit the snooze button .,1,3
686,Two friends took ropes to school so that they could skip out .,1,11
688,Pipe fitters often have high pressure jobs .,1,6
691,The meat truck took a long time to deliver because of the jerky ride .,1,13
692,Suicide at sea is definitely going overboard .,1,7
693,"An exterminator in Idaho announced that he invented a new spray , one application of which will remain effective for a full season . ' Of course , '  he warned . ' I ' ve still got a few bugs to iron out . ' ",1,41
694,Swimmers have to be careful not to get into deep trouble .,1,10
695,Negotiations regarding the railroads have been derailed due to union protests .,1,7
697,The invention of a shirt fastener after the button was a snap .,1,12
698,I ' m glad I know sign language . It ' s pretty handy .,1,14
699,The man who impulsively got a cat despite his allergies later realized that it was a rash decision .,1,17
701,I ' ve made a website for depressed tennis players . The servers are currently down .,1,13
703,Boyle said he was under too much pressure .,1,8
704,The color of the sun in the early morning : rose .,1,11
705,Driving on so many turnpikes was taking its toll .,1,9
707,A ham walked out of the hospital and said ' ' I ' m cured ' ' .,1,15
708,If you ' re looking for oranges on an apple tree you will have a fruitless search .,1,16
711,Those with scissors shouldn ' t use cutting words .,1,8
712,What ' s the deal with negotiations ?,1,5
713,The family elders have relative importance .,1,5
714,A skier who loses a race on a cold day will have a frosty disposition .,1,14
715,The programmer was bugged by her neighbor every day .,1,4
717,Those who get up at sunrise have many ideas dawn on them .,1,10
718,An experienced waiter can give a lot of good tips .,1,10
726,The most popular operation for orthopaedic surgeons is upper - leg surgery : very hip .,1,15
727,Actors are cast through their good and bad stages .,1,9
728,Food for bad dogs is bought by the pound .,1,9
732,A thief fell and broke his leg in wet cement . He became a hardened criminal .,1,15
735,De Broglie waved aside the invitation .,1,3
737,Some shoe sales have a good selection to boot .,1,9
738,"When the town removed billboards , they told people that ' s how it was designed .",1,16
740,An army officer is a position that some people shoot for .,1,10
741,The electrician got his clothes at the outlet store .,1,8
742,The lumber company downsized . They got rid of the deadwood .,1,11
744,"Waiter , there ' s a fly in my soup ! ' ' I know . It gives you a nice buzz doesn ' t it ? ' '",1,22
745,"Tailors enjoy hanging out in internet fora , as they are full of threads .",1,14
748,Priests can ' t marry without prior approval .,1,7
751,"I can cut a piece of wood just by staring at it . It ' s true , I saw it with my own eyes .",1,20
753,I never understood why people liked to play soft ball . It ' s a very underhanded thing to do .,1,17
