text	detection
Drumming is not the way to catch a hare .	1
All are not friends who speak one fair .	0
Empty vessels make the most sound .	0
After Gus gave his girlfriend a 3 dollar box of chocolates for her birthday he got nothing but snickers .	1
The two inventors of the radio were on the same wavelength .	1
OLD WATCHMAKERS never die , they just unwind .	0
To anyone suffering from paranoia , you are not alone .	0
His assistant couldn ' t attend because he was drunk .	0
Gravity , it ' s always putting everyone down .	1
No man is born into this world , whose work is not born with him .	0
A bible falling apart belongs to someone who isn ' t .	0
I wanted to join my local rambling club , but the guy I spoke to on the phone just went on and on .	0
What did the duck say when he bought lipstick ? Put it on my bill .	1
Long fairy tales have a tendency to dragon .	0
""" I ' d like to buy a schwa , Pat . """	0
PRESS To test . < click > RELEASE to detonate .	0
The president of a ladder manufacturer had to step down .	1
What kind of tree fits in your hand ? A palm tree .	1
Rabbits generally lead a hoppy life .	0
The baseball pitcher ' s retirement was at the end of a wonderful ERA .	0
He crashed through several windows , but felt no pane .	0
I watched a movie about a baby hen , it was a real chick flick .	1
The gunman took a shot at new opportunities .	1
The portrait artist made extra money as a census taker . He was good at canvasing people .	1
Why do we have training bras ? What can we teach them ?	0
My boyfriend and I started to date after he backed his car into mine . We met by accident .	1
Hey , is this yours ? Your dog left it on my lawn . . .	0
A waterbed may just be the vinyl resting place .	0
I ' ve never tipped a cow . Then again , one has never served me food .	1
Old gravediggers never die , they just get buried in their work	1
Glue inventors have to stick to it .	1
A cow that is pampered too much will give spoiled milk .	1
To be a mountain climber one needs to be in peak condition .	1
Where there are many chickens you can find layers of eggs .	0
The runaway beer truck barrelled down the freeway after its driver was mugged .	1
Hubble wanted to bring the idea into better focus .	1
I bought me some of those new paper shirts . I don ' t like them - they ' re tearable .	0
Variety is the spice of life .	0
Tried some bear stew . It was a little grizzly .	0
The most popular operation for orthopaedic surgeons is upper - leg surgery : very hip .	1
I didn ' t have the faintest idea as to why I passed out .	1
Staying at the trendy , new hotel was the inn thing to do .	0
Insanity is hereditary . You get it from your kids .	0
My dog can predict when an earthquake is going to happen , but television doorbell versus actual doorbell baffles him every time .	0
I met a girl at an internet cafe , but we didn ' t click .	1
Intelligence is the first thing I look for in a woman . Because if she doesn ' t have that , I may just have a chance .	0
Who lives by hope will die of hunger .	0
Some cardiologists are heartless .	1
A professor without a pointer may find that his lecture is pointless .	1
Old divers never die , they just flop .	1
The Net - surfing bandits always ended an operation by clearing out the cash .	0
Be reasonable . . . . . do it my way .	0
Confidence is the companion of success .	0
A perfect woman is one that is inflated to 40 psi .	0
People who hate the marines are rotten to the corps .	0
What do they call all that lumber on the Star Trek ' s Enterprise ? Captain ' s log .	1
You ' re slower than a herd of turtles stampeding through peanut butter .	0
A bee keeper will sell you honey with swarm wishes .	0
The self - conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer .	0
The key to changing your performance ability is by tuning out criticism and staying musically octave .	0
My name is Faith . I ' m a minister .	0
A young sailor thought all of the waves were just swell .	1
Pizza jokes are way too cheesy for me .	1
Is there a best month of spring ? There May be .	1
She was so thrifty she could smell a bargain a mall away .	0
A student limped into class with a lame excuse .	1
I was struggling to figure out how lightning works then it struck me .	1
Cross the stream where it is shallowest .	0
Two geologists were staring at a huge fissure in a cliff face and one was overheard to say ' It ' s not my fault ' .	1
My name is Iris . I ' m an optometrist	1
Back when the news was written on clay tablets there was a lot of breaking news .	1
Did you hear about that new drug that makes people angry ? It ' s all the rage now .	1
I was looking for watch batteries but I wound up at a clock shop .	1
Old statues never die they just get busted .	1
To our sweethearts and wives . May they never meet !	0
Absence makes the heart grow fonder .	0
He ' s dead Jim . Grab his tricorder . I ' ll get his wallet .	0
If you want her to show emotion , cut up her credit cards .	0
The failure of the third largest manufacturer of baby ' s toys was enough to rattle the entire industry .	1
The butcher is rich but he isn ' t willing to loin .	0
Money is the Root of All Evil . For more info , send $ 10 .	0
A balding man and his hair are soon parted .	1
Pasteur was boiling about not being invited .	1
 ' I love hot dogs , ' ' saidJimmywith relish .	1
The guy who sold his carnival got a Fair deal .	1
I was in a big hurry so I scrambled to make eggs for breakfast .	1
Why should you never invite a watch to dinner ? They always ask for second helpings .	1
Those who find bargain antiques like to junk for joy .	0
Hockey players are terrible chess players because they are always getting checked .	1
Great wine is like great jazz . It confuses me and I ' m pretty sure it ' s all the same .	0
I could not pull out of my parking space , so I used my back up plan .	1
The place that made rubber balls almost went bankrupt , but they bounced back .	1
Old planets never die , they just lose their attraction .	1
Marriage is hard but divorce usually goes off without a hitch .	0
Upon discovering her children playing with matches their mother was flaming mad .	1
The wish is father to the thought .	0
Pills with long names can be quite a mouthful .	1
Archimedes set out to invent a water pump and screwed it up .	1
A family went to watch a movie at the theatre , it was a bonding experience .	0
The actors had one great movie after another . They were on a role .	0
He got a job in a factory making needles , but soon got stuck .	1
False friends are worse than open enemies .	0
When a guillotine executioner is layed off he gets severance .	1
The man who dies with the most toys is still dead .	0
Did the reproducing amoeba get a splitting headache ?	1
The government thinks that flood defenses are a drain on the country .	1
' Change the channel ' she said remotely .	1
OLD HACKERS never die , they just go to bits	1
During his lifetime , the composer Bach was a noted success .	1
I nailed my wood - shop test .	1
Never draw fire , it irritates everyone around you .	0
Arguments about the weather will eventually blow over .	1
All ' s well that ends well .	0
