text	location
Drumming is not the way to catch a hare 	1
All are not friends who speak one fair 	-1
Empty vessels make the most sound 	-1
After Gus gave his girlfriend a 3 dollar box of chocolates for her birthday he got nothing but snickers 	19
The two inventors of the radio were on the same wavelength 	11
OLD WATCHMAKERS never die  they just unwind 	-1
To anyone suffering from paranoia  you are not alone 	-1
His assistant couldn't attend because he was drunk 	-1
Gravity  it's always putting everyone down 	9
No man is born into this world  whose work is not born with him 	-1
A bible falling apart belongs to someone who isn't 	-1
I wanted to join my local rambling club  but the guy I spoke to on the phone just went on and on 	-1
What did the duck say when he bought lipstick  Put it on my bill 	15
Long fairy tales have a tendency to dragon 	-1
""" I'd like to buy a schwa  Pat  """	-1
PRESS To test  < click > RELEASE to detonate 	-1
The president of a ladder manufacturer had to step down 	9
What kind of tree fits in your hand  A palm tree 	11
Rabbits generally lead a hoppy life 	-1
The baseball pitcher's retirement was at the end of a wonderful ERA 	-1
He crashed through several windows  but felt no pane 	-1
I watched a movie about a baby hen  it was a real chick flick 	14
The gunman took a shot at new opportunities 	5
The portrait artist made extra money as a census taker  He was good at canvasing people 	16
Why do we have training bras  What can we teach them 	-1
My boyfriend and I started to date after he backed his car into mine  We met by accident 	19
Hey  is this yours  Your dog left it on my lawn   	-1
A waterbed may just be the vinyl resting place 	-1
I've never tipped a cow  Then again  one has never served me food 	5
Old gravediggers never die  they just get buried in their work	9
Glue inventors have to stick to it 	5
A cow that is pampered too much will give spoiled milk 	10
To be a mountain climber one needs to be in peak condition 	11
Where there are many chickens you can find layers of eggs 	-1
The runaway beer truck barrelled down the freeway after its driver was mugged 	5
Hubble wanted to bring the idea into better focus 	9
I bought me some of those new paper shirts  I don't like them - they're tearable 	-1
Variety is the spice of life 	-1
Tried some bear stew  It was a little grizzly 	-1
The most popular operation for orthopaedic surgeons is upper - leg surgery : very hip 	15
I didn't have the faintest idea as to why I passed out 	7
Staying at the trendy  new hotel was the inn thing to do 	-1
Insanity is hereditary  You get it from your kids 	-1
My dog can predict when an earthquake is going to happen  but television doorbell versus actual doorbell baffles him every time 	-1
I met a girl at an internet cafe  but we didn't click 	15
Intelligence is the first thing I look for in a woman  Because if she doesn't have that  I may just have a chance 	-1
Who lives by hope will die of hunger 	-1
Some cardiologists are heartless 	4
A professor without a pointer may find that his lecture is pointless 	12
Old divers never die  they just flop 	8
The Net - surfing bandits always ended an operation by clearing out the cash 	-1
Be reasonable      do it my way 	-1
Confidence is the companion of success 	-1
A perfect woman is one that is inflated to 40 psi 	-1
People who hate the marines are rotten to the corps 	-1
What do they call all that lumber on the Star Trek's Enterprise  Captain's log 	19
You're slower than a herd of turtles stampeding through peanut butter 	-1
A bee keeper will sell you honey with swarm wishes 	-1
The self - conscious shipbuilder tried to recruit extremely sycophantic sailors to compliment her newly designed destroyer 	-1
The key to changing your performance ability is by tuning out criticism and staying musically octave 	-1
My name is Faith  I'm a minister 	-1
A young sailor thought all of the waves were just swell 	11
Pizza jokes are way too cheesy for me 	6
Is there a best month of spring  There May be 	10
She was so thrifty she could smell a bargain a mall away 	-1
A student limped into class with a lame excuse 	8
I was struggling to figure out how lightning works then it struck me 	12
Cross the stream where it is shallowest 	-1
Two geologists were staring at a huge fissure in a cliff face and one was overheard to say'It's not my fault'	25
My name is Iris  I'm an optometrist	4
Back when the news was written on clay tablets there was a lot of breaking news 	15
Did you hear about that new drug that makes people angry  It's all the rage now 	18
I was looking for watch batteries but I wound up at a clock shop 	9
Old statues never die they just get busted 	8
To our sweethearts and wives  May they never meet 	-1
Absence makes the heart grow fonder 	-1
He's dead Jim  Grab his tricorder  I'll get his wallet 	-1
If you want her to show emotion  cut up her credit cards 	-1
The failure of the third largest manufacturer of baby's toys was enough to rattle the entire industry 	16
The butcher is rich but he isn't willing to loin 	-1
Money is the Root of All Evil  For more info  send $ 10 	-1
A balding man and his hair are soon parted 	9
Pasteur was boiling about not being invited 	3
'I love hot dogs  saidJimmywith relish 	13
The guy who sold his carnival got a Fair deal 	9
I was in a big hurry so I scrambled to make eggs for breakfast 	9
Why should you never invite a watch to dinner  They always ask for second helpings 	15
Those who find bargain antiques like to junk for joy 	-1
Hockey players are terrible chess players because they are always getting checked 	12
Great wine is like great jazz  It confuses me and I'm pretty sure it's all the same 	-1
I could not pull out of my parking space  so I used my back up plan 	15
The place that made rubber balls almost went bankrupt  but they bounced back 	13
Old planets never die  they just lose their attraction 	6
Marriage is hard but divorce usually goes off without a hitch 	-1
Upon discovering her children playing with matches their mother was flaming mad 	11
The wish is father to the thought 	-1
Pills with long names can be quite a mouthful 	9
Archimedes set out to invent a water pump and screwed it up 	10
A family went to watch a movie at the theatre  it was a bonding experience 	-1
The actors had one great movie after another  They were on a role 	-1
He got a job in a factory making needles  but soon got stuck 	14
False friends are worse than open enemies 	-1
When a guillotine executioner is layed off he gets severance 	10
The man who dies with the most toys is still dead 	-1
Did the reproducing amoeba get a splitting headache 	7
The government thinks that flood defenses are a drain on the country 	9
' Change the channel'she said remotely 	8
OLD HACKERS never die  they just go to bits	4
During his lifetime  the composer Bach was a noted success 	10
I nailed my wood - shop test 	2
Never draw fire  it irritates everyone around you 	-1
Arguments about the weather will eventually blow over 	7
All's well that ends well 	-1
A teacher having a tough time longs for the end of the school daze 	-1
Waiters are good at multiplication because they know their tables 	10
Some burglars are always looking for windows of opportunity 	7
A baseball player can sell himself to a new team if he has a good pitch 	16
Never laugh at your boyfriend's choices  You are one of them 	-1
I went to the theatre  it looked a bit suspicious  I reckon the whole thing was staged 	19
Cousteau was submerged in his work 	3
The lumber company downsized  They got rid of the deadwood 	11
What do trees drink  Root beer 	6
Once ice cream was invented the problem was licked 	9
He shined a police officer's shoes and had a brush with the law 	12
The president went through his cabinet to look for his shirt 	6
She was only a whisky maker but he loved her still 	11
My name is Chuck  I'm a butcher 	-1
Why did the agricultural presentation go so smoothly  They planted questions 	11
The good is the enemy of the best 	-1
Old trombonists never die  they just slide away   	-1
Most hunters are nice because they're such deer people 	-1
A friend cannot be known in prosperity nor an enemy be hidden in adversity 	-1
A nuclear war can ruin your whole day   	5
The vegetable never taken aboard ship is a leek 	-1
If you snooze you lose 	-1
Did you hear about the readhead who opened a bakery  He was the ginger bread man 	-1
We offer counsel so you are not audited on your final return 	11
I wanted to learn to drive a stick shift  but I couldn't find a manual 	18
Waiter  I'll have my bill now  - How did you find your steak  sir  - Oh  I just moved the potato and there it was 	15
A lie can be halfway around the world before the truth gets its boots on 	-1
He has been a jogger for three years running 	9
He realized he'd made the major leagues when it finally hit him 	13
Vinyl records are really groovy 	5
The only similarity between ancient times and the 1970's is that both were full of people getting stoned 	20
'I like modern painting  saidDanielabstractly 	12
My father slept under the bed  I think he was a little potty 	-1
The designer wondered why his pirate room wasn't perfect  and the judge told him he went a little overboard 	22
Transitional age is when during a hot day you don't know if you want ice cream or beer 	-1
Ne'er cast a clout till May be out 	-1
If you ride a bus you have to pay your fare share 	-1
Then there was the occasion I spotted a health - oriented cafe displaying a sign reading California Shakes  Obviously  I thought 	-1
There was a guy who was fired from the orange juice factory for lack of concentration 	16
A successful diet is the triumph of mind over platter 	-1
I've been to the dentist several times so I know the drill 	14
Forgive and forget 	-1
All I ask is a chance to prove that money can't make me happy 	-1
Some bankers are generous to a vault 	-1
It's easy to be wise after the event 	-1
A rising tide lifts all boats 	-1
I heard some pretty juicy rumor about butter  but I decided not to spread it 	15
OLD GRAVEDIGGERS never die  they just spade away 	-1
Lumber companies have many board meetings 	5
There is no royal road to learning 	-1
I gave in when my wife hounded me about getting a puppy 	7
Old pilots never die  they just get more turbulent 	10
None but the brave deserve the fair 	-1
Men talk only to conceal the mind 	-1
I'd give my right arm to be ambidextrous 	-1
He bought a plate with four corners so he could have a square meal 	13
Someone once accused me of stealing an old  rare  valuable stamp  and I philately denied it 	-1
What kind of flooring do alligator hunters use  Reptiles 	-1
Three can keep a secret  if two of them are dead 	-1
Since I've taken the job in The Everglades I've been swamped 	15
While walking on a tightrope  the accountant lost his balance 	11
When making butter there is little margarine for error 	-1
Time flies 	-1
When the human cannonball retired they couldn't find a replacement of the right caliber 	16
Don't put all your eggs in one basket 	-1
I think a job as a shoe salesmen would be your best fit 	13
Waiter  there's a fly in my soup  At our restaurant  we guarantee You won't find a single fly  Whaddya mean  Because they're all married 	-1
Pray up in advance 	-1
Give him an inch and he'll take a yard 	-1
It's OK to watch an elephant bathe as they usually have their trunks on 	15
The artist drew a crowd with her spectacular performance 	3
The voice of the people is the voice of god 	-1
I'm not a Facebook status  You don't have to like me 	-1
Where do pancakes live  In a flat 	8
A picture is worth a thousand words 	-1
Oh what a tangled web we weave  On the Internet 	5
Notice in a field : The farmer allows walkers to cross the field for free  but the bull charges 	20
My mate swallowed a cordless vacuum cleaner  they took him to hospital and he is picking up nicely 	17
If I had a dollar for every time I had an existential crisis  it wouldn't matter because currency is a social construct and life is meaningless 	-1
Old proctologists never die  they just face the end 	10
Tagline dispenser temporarily out of order 	-1
The musician played a lute at the concert and earned his fame 	-1
It's never too late to mend 	-1
The prospector didn't think his career would pan out 	10
I've made a website for depressed tennis players  The servers are currently down 	13
The groundskeeper at a large cemetery was important because he had 5000 people under him 	14
Mason - Dixon Line n  Separates y'all from youse guys	-1
When the doctor asked the editor how he was doing  he said he had a problem with his circulation 	20
"Why did CNN cancel that cool "" Winter Storm "" show "	6
Garbage in  garbage out 	-1
If pride goes before a fall  humility should arrive by that winter	6
Your very last breath will be a fatal blow 	9
Two companies that made shoelaces had common ties 	8
The younger brother the better gentleman 	-1
Old bakers never die  they just stop making lots of dough 	-1
Rap videos are completely unrealistic  Nobody has that many friends 	-1
My comb is invaluable - I can't part with it 	10
A new type of broom came out  it is sweeping the nation 	11
OLD HOUSEWIVES never die  they just wash away 	-1
Jenny was sure she was going to Heaven but she wouldn't harp on it 	14
He became a sky diver out of the blue 	9
Parallel lines have so much in common  It's a shame they'll never meet 	18
To err is human  to forgive is against my policy	-1
Some food for thought is only baloney	7
I used to be a banker but I lost interest	10
I find you guilty  said the judge with conviction 	14
A guy went to a costume party dressed as a knife  and he really looked sharp 	17
Reckless youth makes rueful age 	-1
I had an appointment with the chiropractor  but I backed out 	11
Pompous male bees are often known to drone on about themselves 	8
When the investor came home from work he was spent 	-1
The harm caused by sibling rivalry is relative 	8
People only throw stones at trees with fruit on them 	-1
Two banks with different rates have a conflict of interest 	10
We carry our greatest enemies within us 	-1
You are confused ; but this is your normal state 	-1
Objects in taglines are closer than they appear 	-1
Banners are everywhere because it's the parade today 	-1
I'd tell you a joke about a cow but I always butcher it 	14
Cooks have a lot of spice in their lives 	6
A veterinarian knows how to make a dog heal 	-1
I tinted my hair today  It was the highlight of my day 	2
Backup not found : ( A ) bort ( R ) etry ( P ) anic	-1
Federal Law prohibits the removal of this tagline	-1
I wanted to be a sonar technician  but it was out of my depth 	15
The snowstorm arrived at a fortuitous moment  It was white on time 	-1
If you jump to conclusions  you make terrible landings 	3
Do you have any parting words  - How about comb and brush 	5
'Angel dust  Me  Never touch it  Matt snorted 	15
86 of Borg : You will be assimilated  Would you believe  stood close to 	-1
He put so many blanks in his document that he started to feel spaced out 	14
Sky divers don't jump  they just fall away 	10
An hobbituary to Tolkien appeared in each of the major newspapers  all had a familiar ring to them 	17
Traffic jam is the worst kind of jelly 	2
A karate school restaurant served mainly chops 	7
I kept failing to get a job as a butcher because I couldn't just make the cut 	19
Great minds agree 	-1
OLD PROCTOLOGISTS never die  they just butt out 	8
Better late than never 	-1
You have to fill out many government forms because there are many forms of government 	-1
OLD VACUUM CLEANER SALESMEN never die  they just get sucked in 	6
A locksmith has to have a good Combination of skills 	8
Underpaid weather forecasters predicted a storm of protest 	6
Plough deep while sluggards sleep  and you will have corn to sell and keep 	-1
Home improvement  Take your family to church 	-1
If you send a letter to the Philippines put it in a Manila envelope 	-1
Discretion is the better part of valor 	-1
Some people still think that writing long stories is a novel idea 	11
Gauss was asked to attend because of his magnetic personality 	9
She was only a Insurance broker's daughter  but all the guys liked her policy 	-1
""" Graphic Artist seeks Boss with vision impairment  """	-1
Alergy sufferers are itching to get through the hay fever season 	4
Little strokes fell great oaks 	-1
'Perhaps I will  said Nate with all his might 	-1
Old bungee jumpers sometimes die but they can still bounce back	10
What's blue and not very heavy  Light blue 	10
OLD WOOL COATS never die  they just become mothballed 	-1
If at first you don't succeed  try  try again 	-1
I tried wrapping Christmas presents  but I didn't have the gift 	14
Even though the well was a mystery to her  she didn't want to get to the bottom of it 	20
OLD RABBIS never die  they just get grey around the temples 	12
I have been waiting for the bus for so long  someone just stapled a lost cat flyer to my chest 	-1
A noun and a verb were dating but they broke up because the noun was too possessive 	17
No one knows where the shoe pinches  but he who wears it 	-1
Act your praise  not your shoe size 	-1
I finally found a spotter at the gym  it's like a huge weight has been lifted off my shoulders 	16
How much room is needed for fungi to grow  As mushroom as possible 	-1
I love your old worn - out jacket covered with all those slogans  but I can't read the frays at the end of the sleeves 	-1
My friend's bakery burned down last night  Now his business is toast 	15
Whenever the nurses have a bad day they just keep needling people 	11
Hmmm  fence must still be down over at the funny farm    	-1
Politics makes strange bedfellows 	-1
A doorbell salesman joined the choir  and chimed right in 	9
Sellers of dried grapes are always raisin awareness 	-1
I wanted to exercise last night but it just didn't work out 	13
The orange squeezer was invented with some juicy information 	8
OLD NUMBER THEORISTS never die  they just get past their prime 	7
Plumbers often have to tap their natural abilities 	5
Swimmers have to be careful not to get into deep trouble 	10
Beats me why anyone would want to be a masochist 	1
Pencils could be made with erasers at both ends  but what would be the point 	16
At seven foot six he was a great basketball player and everyone looked up to him 	13
When a duck is feeling down he might just be happy 	6
Tires are fixed for a flat rate 	6
If you wear a blindfold at the shooting range  you won't know what you're missing 	20
Vertical living is flat dwelling 	-1
The boy who got electrocuted was unable to give a statement because he was still shocked at the incident 	16
We were so poor when I was growing up we couldn't even afford to pay attention 	17
There is no greater torment than to be alone in paradise 	-1
Two blasting technicians got married and then lost their spark 	10
I'll have one brain on drugs with bacon  toast and juice 	-1
He recommended the restaurant to me  and said he had no reservations 	13
I found out that at the gym  their opinion on fitness carries a lot of weight 	17
If you're looking for a sign from god  this is it 	-1
My name is Teddy  I'm in lingerie	4
Are you a Klingon  or is that a turtle on your head 	-1
The worth of a thing is what it will bring 	-1
Our garden hose was damaged yesterday  and I couldn't get to the leek without getting wet 	-1
Keep the dream alive : hit the snooze button 	3
The doctor couldn't transfer the organs because he didn't have the guts to do it 	16
After the lawyer flushed the toilet  it went to the suer 	-1
On the old trains the engineer had a lot of esteem 	-1
There's many a slip'twixt cup and lip 	-1
The bargain store promised a free abacus with every purchase  but I wouldn't count on it 	17
A group of physicists is called a nucleus 	8
You know what happens after you miss math class  It starts adding up 	13
She's a composer who has scores of works to her credit 	8
When cave men got together they formed clubs 	8
Compatible : Blows up a little later than Incompatible	-1
A doctor drank while putting on patients'casts  He was soon plastered 	14
A bowling team was called'lightning'because they had so many strikes 	14
It is better to die on one's feet than live on one's knees 	-1
In Ireland you're more likely to get a Pat answer 	11
My sweet mother got so old she granulated 	-1
You really are addicted to soccer  you should think of kicking the habit 	12
Sometimes a pregnancy is so long it seems like a maternity 	-1
Stereo speakers are made by'high volume'manufacturers 	8
Sheesh  You start havin'fun  and they send the lawyers 	-1
When gossip finally led to the landlady's arrest for murdering her tenants and scattering parts of their bodies around town  her only comment was  Well  that's what comes of spreading roomers 	-1
'Here's your allowance for the next two weeks Richardadvanced 	-1
A politician who had been an astronomer was always saying'no comet'	-1
A word spoken is past recalling 	-1
Dutch shoes used to be made in a factory machine  until it got clogged up 	15
Businesses selling pleasure boats often have a sail 	-1
Winning isn't everything  it's the only thing 	-1
Enjoy the present day  trusting little to what tomorrow may bring 	-1
The woman who rode her broom to a croquet game was a wicket witch 	-1
A tailor sometimes decides to suit himself 	6
Salespeople selling security equipment like to see people get alarmed 	10
'It's an actual parameter  not a formal parameter  wasRobert' s argument 	-1
Making your own hard liquor is a whiskey business 	-1
I'd love to  but I'm teaching my ferret to yodel 	-1
Don't go between the tree and the bark 	-1
A fool with a tool is a well - equipped fool	-1
OLD HELICOPTER PILOTS never die  they just lose their choppers 	6
Last week I was diagnosed with insomnia  and now I'm just so tired of it 	16
Photography developers occasionally have serious emulsional problems 	-1
My father always thought laughter was the best medicine  which I guess is why several of us died of tuberculosis 	-1
OLD LANDSCAPERS never die  they just get weeded out 	9
When the shocked IRS agent was found guilty of tax evasion he had to take time to collect himself 	18
Waiter  my bill please  - How did you find your luncheon  sir  - With a magnifying glass 	11
When the air conditioning failed in the indoor stadium there was a fan protest 	13
A good carpenter will do his work and then varnish without a trace 	-1
If someone steals your fruit  you have to let that mango 	-1
New religion  I haven't used up the old one  yet 	-1
My name is Mike  I'm an announcer	-1
A cat ate some cheese and waited for a mouse with baited breath 	-1
Those working in tissue research and testing are always blowing it 	-1
A crazy programmer with a cold is a coughing hacker 	-1
OLD LIBRARIANS never die  they just lose their circulation 	5
Doctor  doctor  I keep thinking I'm a spoon  - Sit there and don't stir  Next 	21
If it screams  it's not food  yet    	-1
'I don't work here on a regular basis  saidJacobcasually 	-1
A cook made pancakes flippantly 	-1
Once a thief always a thief 	-1
When William joined the army he disliked the phrase'fire at will'	-1
OLD BOOKKEEPERS never die they just lose their figures 	-1
On being served an extravagant dessert : So rich  it has its own tax shelters 	11
A contest held by fire fighters is called a match 	10
Giving praise is when you let off esteem 	-1
A dry cleaners had a dozen suits in court 	7
Do not think that one enemy is insignificant  or that a thousand friends are too many 	-1
Graveyard workers really dig their jobs 	4
Poverty is the reward of idleness 	-1
My father's father wanted to know if he could stay with the company in spite of the many changes  They ended up grandfathering him in 	26
I like birthdays  but I think too many can kill you 	-1
Edison thought it would be an illuminating experience 	7
He worked in a chocolate factory  but always took his sweet time 	12
Spare the rod  spoil the child 	-1
The man addicted to brake fluid said he could stop any time 	10
If a job is worth doing  it is worth doing well 	-1
Bakers have a great knead to make bread 	-1
At what age is it appropriate to tell my dog that he's adopted 	-1
Poor blood circulation runs through the family 	3
What do you call friends you meet at culinary school  Taste buds 	13
Your smile must be a black hole  Nothing can escape its pull 	-1
Astronauts work in a nice atmosphere 	6
'I'm burning aromatic substances  saidJim incensed 	15
An ounce of prevention is worth a pound of cure 	-1
Neil Simon's only unsuccessful play : Chapter 11 	-1
When he kicked the invoice  it didn't mean he wanted to foot the bill 	15
After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints 	23
Old typists never die  they just lose their justification 	-1
Canadian DOS prompt : EH  \ >	-1
The Chinese chef maliciously dumped a hot broth with dumplings on an obnoxious customer  It was a wanton soup attack 	-1
The dermatologist was an avid gardener but he had a problem with moles 	13
The weather bureau is an umbrella organization 	6
Water leaking through wallboard is usually a ceiling problem 	-1
He had to learn what the measles was  from scratch 	11
OLD CHEMISTS never die  they just fail to react 	10
A king is old when he reaches the age of sovereignty 	-1
Politicians get onto the merry - go - round and then put a spin on it 	14
My name is Sandy  I just hang around the beach 	-1
What happens when you get scared half to death      twice 	-1
The state funeral remains to be seen 	-1
First deserve  then desire 	-1
A baseball player was a thief  He was always trying to steal 	13
I can't remember ever getting nits as a kid  although I do have a lousy memory 	18
Fine words butter no parsnips 	-1
I'm addicted to having money in the bank  I really do suffer from withdrawals 	17
The sergeant drank whiskey in order to be fortified in his position 	9
Ducks don't have their palms read - they look for it on the web 	16
The model who joined the air force was a bombshell 	10
Take all things as they come and be content 	-1
I wrote a novel about a fellow who had a small garden  It didn't have much of a plot 	22
Old bootleggers never die  they just keep still 	9
The lawyer asked a loaded question about guns 	5
There's more than one way to skin a cat 	-1
Waiter  there are pennies in my soup  Well  sir  you said you'd stop eating here if there wasn't some change in the food  	30
OLD BASEBALLS never die they just get pitched 	-1
A girl and her boyfriend went to a party as a barcode  They were an item 	17
My friend was fired from his job at the road department for stealing  I have to say I saw it coming  The last time I was at his house all the signs were there 	34
Violinists are often fiddling around 	4
When you're wearing a watch on an airplane  time flies 	13
One evening King Arthur's men discovered Sir Lancelot's moonshine whiskey operation and shattered the still of the knight 	-1
A dentist with a toothache could have a bad impact on his patients 	-1
When neon lights were perfected the inventor was positively glowing 	10
He collects mouthwash bottles  and they're all in mint condition 	12
I wonder if dogs had facebook  would they put our picture as their profile picture 	-1
She was surely an attorney's grandchild  but what a will to break 	13
Always remember you're unique - just like everyone else 	-1
Old academics never die  they just lose their faculties	10
Sharks don't eat lawyers  Professional courtesy 	-1
If I want your opinion I'll beat it out of you 	-1
Plagiarism is the sincerest form of flattery 	-1
Some people like raw meat on rare occasions 	7
Eating too many snacks when studying for a test is called cramming 	12
A girl a day keeps the wife away 	-1
Have you heard the joke about the bomb  It had no impact 	13
A will is a relative thing 	-1
A woodcutter's world revolves on his axes 	9
Never lie to an x - ray technician  They can see right through you 	-1
Changing a tire on that crazy Houston freeway was a wrenching experience 	11
She wanted to be a weaver but there were always too many snags 	13
The couple grew fruit trees and lived to a ripe old age 	10
Weather forecasters have to have lots of degrees 	8
If you burn the candle on both ends  you're not as bright as you think 	13
Two airline pilots in a stand - up comedy did a takeoff 	12
When it was lumpy he had a beef with his gravy 	-1
Acrobats are always doing good turns 	6
I just landed a job as an assistant typist  helping with the capital letters  It's shift work 	20
Horses eat best when they don't have a bit in their mouth 	-1
The Transformer always had a lot of quarters with him  He was a big fan of change 	18
She was only a Bookbinder's daughter  but she knew her way between the sheets 	17
After a long day of work  the old auto mechanic is exhausted 	13
Herbivores come in browns and graze 	-1
Good clothes open all doors 	-1
Swimming instructors are always getting immersed in their work 	6
If you sight a whale  it could be a fluke 	11
The salesman was peddling used bikes 	-1
Scientists allow us to see the sun in a different light 	11
Apparently  they're not making shortbread any longer 	10
His wife left him saying she was going home to mutter 	-1
We're lost but we're making good time 	-1
I've never taken an elevator to the basement floor  that's just beneath me 	17
She played baseball and so did he  They hit it off 	10
The rusty car is worth nothing at all to me 	-1
When the Dalmatian ran away  he was spotted two blocks from home 	9
Animals are slaughtered for meat at a tender age 	8
Eve taught us it's okay to take a little time off 	-1
Florida bumper sticker : don't shoot  I'm local 	-1
Did you hear about the man who was jabbed in the back with a set of keys  His back locked up 	21
My name is Frank  the Hot - Dog vendor	-1
Shit or get off the pot 	-1
'It's twelve noon Jackchimed in 	12
Vines are extremely short - tempered  They snap at the slightest wind 	9
If you want to catch a squirrel  just climb a tree and act like a nut 	17
Children can do some knotty things with string 	-1
I'm NOT stubborn  You can't convince me otherwise  	-1
Airline pilots make many friends in high places 	7
The swimming champion had a stroke in her home  and now she's hospitalized 	6
He and his partner made knives  and they shared a cut 	12
The burglar tried to steal away without being noticed 	5
Did you hear about the pilot who always had work  He was great at landing a job 	16
A manufacturer that made lamps gave their employees a light workload 	10
I used to be afraid of purchasing residential property for the purpose of renting  but now I have an apartment complex 	22
As soon as the airplane was invented  things were looking up 	12
Don't open the darkroom door ; it lets all the dark out 	-1
Just so everyone is clear  I am going to put my glasses on 	5
A watched pot never boils 	-1
People who make necklaces may get beady eyes 	7
Loose lips sink ships 	-1
Old investors never die they just roll over 	7
An office with many people and few electrical outlets could be in for a power struggle 	15
Gotta run    the cat's caught in the printer again 	-1
The cardiologist looks repulsed at the mess 	-1
I used to have a life  now I have a modem 	-1
The inventor of the stove top was in his element 	10
The fire chief was always asked burning questions 	7
( a ) Fast  ( b ) Reliable  ( c ) Inexpensive - Pick Two 	-1
If you say you have bad skin  I'd say that was a pore excuse 	-1
He's a good letter carrier  He always keeps you posted 	13
His plan to manufacture pencils just didn't draw attention 	10
The Procrastinators Anonymous meeting has been delayed until next Wednesday	-1
'How long will I have to wait for a table  asked Wilfred without reservation 	19
He stayed at the auction to the bidder end 	-1
Don't play with matches  Lighters work much  much better 	-1
People who eat their apples stem and seed and all improve their core values 	13
What did the beaver say when he fell in water  Dam it 	-1
Since Bruce got too close to the big blade at the saw mill he is no longer feeling chipper 	19
Prevention is better than cure 	-1
I was fighting a dragon  easier slayed then done 	-1
Why don't people like to talk to garbage men  They mostly talk trash 	16
The warden gave the inmates acne medicine hoping it would keep them from breaking out 	14
She told a long story about a coil of rope  and then left us all hanging 	17
Hell  I thought it didn't matter what you believed as long as you were sincere 	-1
The trouble with learning from experience is that you never graduate 	-1
A hedge between keeps friends green 	-1
Old coupon clippers never die  they just expire 	9
Salesmen don't get fired  they go out of commission instead 	12
I won't buy a circuit breaker  Tom refused 	-1
Faraday was charged up with the idea 	3
Life is what you make of it 	-1
His model airplane hobby really took off 	6
Two coin collectors got together for old dimes sake 	-1
If you run through a screen door you'll strain yourself 	11
A husband and wife argued over the weather  but it soon blew over 	13
Fight fire with fire 	-1
Always smile  It makes people wonder what you're up to 	-1
For a chronically absent employee : It seemed her career was just taking off 	-1
Whom God will destroy  he first make mad 	-1
My dad finally left me a voicemail where he didn't introduce himself  I think we're getting closer 	-1
A tire store loves a chance to roll out a new product 	8
Soon after he joined the band  the guitarist was instrumental 	11
Ultimate office automation : networked coffee machines 	-1
Do hotel managers get board with their jobs 	-1
When the TV repairman got married the reception was excellent 	8
If you walk along a railroad track you may soon feel run down 	-1
Old hikers never die they just get the boot 	9
Fools and their money become popular quickly 	-1
A case of disappearing bison had police completely buffaloed 	9
You may use this opinion for a two week trial period 	-1
Gunpowder was invented in a flash 	6
Take my advice  I don't use it anyway 	-1
They said he drank 2 bottles of whisky a day  but it wasn't true  He had to scotch those rumours right away 	22
The dance club opened to rave reviews 	6
The ultimate liquid measure is the supreme quart 	-1
An egotist is a person who is more interested in himself than in me 	-1
In an empty head  you can hear forever    	-1
Old statisticians never die  they just average out 	8
For a dishonest employee : He's an unbelievable worker 	10
2 Rules for Success : Rule # 1 : Never reveal everything you know 	-1
People who like gold paint have a glitter complex 	-1
Did you hear about the new pinata  It's a huge hit 	14
Strip mining prevents forest fires 	-1
Dorothy's dog  of the Wizard of Oz fame  always eats his food entirely - he never leaves any scraps because it's in toto 	-1
Limit Congress to 2 terms : one in office  one in jail 	-1
I was against the construction of tennis courts in the park as I thought they would cause too much racket 	20
This tagline no verb 	-1
I still miss my ex - husband  But my aim is improving 	3
Virginity IS curable if detected early   	-1
Time is money 	-1
To save money for the company he cut all the electricity  They were soon in the black 	18
It was a sad day for the rattlesnake family  the time had come for the children to strike out on their own 	19
The whole office was laid off by the angry manager 	-1
Failure is the stepping stone for success 	-1
I've finally stopped drinking for good  Now  I just drink for evil 	8
He who is not with me is against me 	-1
If all your troubles are melting away watch out for the floods 	-1
The boxer's girlfriend was a knockout 	8
Ron has the best motorcycle in town 	-1
