score	location
"[[ 0.22036267  0.20180569 -0.02060459 -0.05249338 -0.06672846 -0.08315742
  -0.09041131 -0.11240538 -0.14058008 -1.        ]
 [ 0.54307574  0.47732157  0.43003237  0.2885371   0.25244092  0.24696951
   0.01591093  0.01591093 -1.         -1.        ]
 [ 0.3348449   0.32451163  0.31460338  0.30490228  0.25260616  0.18288151
  -0.00253763 -0.00253763 -1.         -1.        ]
 [ 0.13361623  0.13361623 -0.01409887 -0.01409887 -0.06409119 -0.06409119
  -0.06580904 -0.06580904 -0.07735802 -0.07735802]
 [ 0.36039668  0.36039668 -0.06791479 -0.09107145 -0.12463207 -0.14584619
  -1.         -1.         -1.         -1.        ]
 [ 0.27576526  0.24998557  0.14009131 -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.55762633  0.45646304  0.420418    0.34559508  0.33088241  0.3293309
   0.25793634  0.24480006  0.1503709   0.13042003]
 [ 0.32727382  0.29821531  0.29727871  0.22746605 -0.00874346 -0.00874346
  -1.         -1.         -1.         -1.        ]
 [ 0.25753661  0.24580951  0.17903212  0.14108143  0.01800831  0.01800831
  -1.         -1.         -1.         -1.        ]
 [ 0.25762827  0.23372308  0.19761593  0.19761593  0.06014752  0.06014752
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	11.0
"[[ 0.54891768  0.54891768  0.22029993  0.22029993  0.2016269   0.2016269
  -0.00841016 -0.00841016 -0.01591544 -0.01591544]
 [ 0.19055511  0.09190966 -0.03113497 -0.03113497 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.38412139  0.38412139  0.10588204 -0.00758493 -0.06358514 -0.06358514
  -1.         -1.         -1.         -1.        ]
 [ 0.18343702  0.18343702  0.17540908  0.17540908  0.13944748  0.13187308
   0.06598514  0.06598514 -0.03402733 -0.03402733]
 [ 0.46275927  0.46275927  0.08336441  0.07611078  0.05926457  0.05285551
  -1.         -1.         -1.         -1.        ]
 [ 0.71568067  0.68766792  0.32367429  0.32367429  0.14876786  0.14876786
   0.09931968  0.091217   -0.02457672 -0.04848972]
 [ 0.52071465  0.52071465  0.22591756 -0.03502825 -0.03502825 -0.08431866
  -0.10761522 -0.10761522 -0.11068656 -0.1805967 ]
 [ 0.06458415  0.06299098  0.01212941  0.01212941 -0.01224637 -0.01224637
  -0.04031998 -0.04031998 -0.06877145 -0.07035568]
 [ 0.41052903  0.41052903 -0.03083772 -0.03083772 -0.07260394 -0.07260394
  -0.08383359 -0.08383359 -0.11987101 -0.12380993]
 [ 0.52524775  0.48025958  0.28016859  0.18890737  0.17780013  0.14506859
   0.13024967  0.12649852  0.10620166  0.04815908]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.47555199  0.47535624  0.2067199   0.18476483  0.09148082  0.09148082
   0.0879181   0.0879181   0.04538578  0.04538578]
 [ 0.21183798  0.20275178  0.19979854  0.18999671  0.17105852  0.13876745
   0.11338987  0.10096151  0.09174101  0.08902497]
 [ 0.46275927  0.46275927  0.08336441  0.07611078  0.05926457  0.05285551
  -1.         -1.         -1.         -1.        ]
 [ 0.5227855   0.50462759  0.10310609  0.09255489  0.06985431  0.06985431
   0.06510174  0.04221284  0.03751317  0.03414856]
 [ 0.33181754  0.3151372   0.26581452  0.25830366  0.21702996  0.21702996
   0.13906669  0.08062917  0.05177796  0.04138936]
 [ 0.52071465  0.52071465  0.22591756 -0.03502825 -0.03502825 -0.08431866
  -0.10761522 -0.10761522 -0.11068656 -0.1805967 ]
 [ 0.1114129   0.10726164  0.02270068  0.02270068  0.00742231 -0.04914429
  -0.04914429 -0.08977427 -0.1187235  -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	18.0
"[[ 2.40188263e-01  2.40188263e-01  2.59483307e-03 -2.03003889e-02
  -2.56921389e-02 -2.87565578e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 5.01917760e-01  4.84871354e-01  3.35947227e-01  3.35947227e-01
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 5.86497959e-01  4.71717088e-01  4.46268628e-01  3.17552808e-01
  -6.36151030e-02 -6.36151030e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.10743980e-01  3.23555717e-01  9.74466335e-02  3.02171381e-04
  -1.35022620e-01 -1.35022620e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 5.57230890e-02  3.66434255e-02  3.30735835e-02  2.35183620e-02
   2.35183620e-02  1.61624009e-02  1.21209342e-02  1.05763425e-02
   3.60637693e-03 -8.15783665e-03]
 [ 3.49451569e-01  2.55354103e-01  2.55354103e-01  1.98950372e-01
   1.58199070e-01  1.31889743e-01  1.01386156e-01 -8.87175677e-02
  -8.87175677e-02 -1.00000000e+00]
 [ 2.85677461e-01  2.63513345e-01  2.63297093e-01  2.42582410e-01
   2.42582410e-01  2.03910947e-01  1.53503067e-01  1.29615035e-01
   1.29615035e-01  1.24720872e-01]
 [ 3.05594750e-01  3.05594750e-01  4.28688617e-02  4.23443340e-02
   2.28642331e-02  6.87001578e-03 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.05664995e-01  3.71423383e-01  2.90150724e-01  1.51522396e-01
   1.03562940e-01  1.03562940e-01  9.04625107e-02  5.63022103e-02
   2.69301086e-02  1.73056685e-02]
 [ 2.26091210e-01  2.15412148e-01  1.90687435e-01  1.78241027e-01
   1.71019434e-01  1.68422829e-01  1.68422829e-01  1.61470878e-01
   1.46242419e-01  1.46242419e-01]
 [ 2.75395234e-01  2.75395234e-01  1.43701599e-01  1.43701599e-01
   6.50105232e-02  6.50105232e-02 -1.22992529e-02 -4.98002768e-02
  -4.98002768e-02 -5.05743737e-02]
 [ 3.56025911e-01  3.28116166e-01  3.09251942e-01  2.93475084e-01
   2.24037487e-01  9.05332283e-02  9.00663290e-02  7.20316640e-02
  -1.15325163e-01 -1.15325163e-01]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	9.0
"[[ 0.58019941  0.57838567  0.43050365  0.27236312  0.25449588  0.12867099
   0.03371796 -0.06544946 -0.11739106 -0.11739106]
 [ 0.39097628  0.32957944  0.17640039  0.13055958  0.11711092  0.10276431
   0.09900134  0.09900134  0.06689907  0.03520351]
 [ 0.3518633   0.3518633   0.1601658   0.09856918  0.07677315  0.07677315
   0.01289795  0.01289795 -0.01044799 -0.13433538]
 [ 0.09270233  0.09270233 -0.03581663 -0.05460847 -0.05956389 -0.09019832
  -1.         -1.         -1.         -1.        ]
 [ 0.34747165  0.33845759  0.23465499  0.23465499  0.02525266  0.02525266
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.53163086  0.52058274  0.50562036  0.47678744  0.47085341  0.4223187
   0.4223187   0.40884354  0.40884354  0.39684232]
 [ 0.26263941  0.20928376  0.16910842  0.15965503 -0.03912851 -0.03912851
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.21851659  0.21851659  0.07913374  0.07913374 -0.09079369 -0.09079369
  -1.         -1.         -1.         -1.        ]
 [ 0.58019941  0.57838567  0.43050365  0.27236312  0.25449588  0.12867099
   0.03371796 -0.06544946 -0.11739106 -0.11739106]
 [ 0.24749754  0.20776514  0.15417044  0.14572236 -0.03395934 -0.03395934
  -1.         -1.         -1.         -1.        ]
 [ 0.14032125  0.14032125 -0.01018232 -0.03006306 -0.03491231 -0.03491231
  -0.10184538 -0.10400763 -0.10540263 -0.11432431]
 [ 0.3673474   0.3673474   0.26272384  0.26272384  0.19298802  0.17036404
   0.16740153  0.16740153  0.14679593  0.14679593]
 [ 0.03036632  0.03036632 -0.07240055 -0.07240055 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	15.0
"[[ 0.13050351  0.13050351 -0.0779376  -0.08848689 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.35007838  0.28449457  0.0284437   0.0284437  -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.44471988  0.42173561  0.38675661  0.2929827   0.05894237  0.05894237
  -1.         -1.         -1.         -1.        ]
 [ 0.21082037  0.21082037  0.16969019  0.16620768  0.16283815  0.15996867
   0.14745788  0.14233153  0.1257978   0.1257978 ]
 [ 0.25617266  0.25617266  0.01454595 -0.01008461 -0.02032209 -0.03493146
  -1.         -1.         -1.         -1.        ]
 [ 0.34007992  0.32156111  0.14158452  0.13315776  0.13160373  0.13045099
   0.12238155  0.10918718  0.10360298  0.10360298]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [ 0.30517856  0.2624081   0.23684182  0.22127271  0.20277141  0.14982384
   0.08731901  0.0865735   0.07746993  0.05531656]
 [ 0.1490918   0.11633809  0.09846551  0.09846551  0.08899643  0.08017348
   0.05063384  0.03365357 -1.         -1.        ]
 [ 0.06486272  0.06486272  0.02098976  0.0124264  -0.00486909 -0.00658315
  -1.         -1.         -1.         -1.        ]
 [ 0.25617266  0.25617266  0.01454595 -0.01008461 -0.02032209 -0.03493146
  -1.         -1.         -1.         -1.        ]
 [ 0.16689872  0.13564146  0.0685131  -0.00348776 -1.         -1.
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	12.0
"[[ 2.75451661e-01  9.74667894e-02  9.74667894e-02 -7.22930337e-02
  -7.22930337e-02 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.89432232e-01  3.89281105e-01  2.59872676e-01  6.00345806e-02
   1.54232545e-02  1.50473290e-02  1.00272940e-02  1.62674463e-03
  -2.57137484e-03 -3.95186519e-03]
 [ 7.75811499e-02  5.47085687e-02 -5.65912741e-02 -5.65912741e-02
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.89349782e-01  2.71394169e-01  2.27130614e-01  6.82995955e-03
   6.82995955e-03 -3.67796491e-02 -3.67796491e-02 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.89432232e-01  3.89281105e-01  2.59872676e-01  6.00345806e-02
   1.54232545e-02  1.50473290e-02  1.00272940e-02  1.62674463e-03
  -2.57137484e-03 -3.95186519e-03]
 [ 4.23193698e-01  4.17566084e-01  9.37712148e-02  1.99543563e-02
  -3.49073992e-02 -3.49073992e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.91495979e-01  1.74423677e-01 -1.41988759e-01 -1.41988759e-01
  -1.43127033e-01 -1.58027673e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.74610377e-02  1.87309380e-02 -6.63406138e-02 -7.51414352e-02
  -1.16989737e-01 -1.16989737e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.89349782e-01  2.71394169e-01  2.27130614e-01  6.82995955e-03
   6.82995955e-03 -3.67796491e-02 -3.67796491e-02 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.44343601e-01  2.44343601e-01  1.74558971e-01  1.74558971e-01
  -1.77567580e-02 -1.77567580e-02 -4.64777429e-02 -4.64777429e-02
  -7.32790592e-02 -7.32790592e-02]
 [ 2.90902954e-01  1.57351699e-01  1.00188596e-01  7.38832476e-02
   6.24531278e-02 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.51392739e-01  2.00178999e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.19639855e-01  3.80131405e-01  8.51247195e-02 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.75610916e-01  3.34950542e-01  3.20242400e-01  3.04538255e-01
   2.86972807e-01  2.47219899e-01  2.44883130e-01  1.85590835e-01
   1.16610357e-01  1.04315729e-01]
 [ 2.08968382e-01  1.94360503e-01  1.53973533e-01  1.45042886e-01
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.34084050e-01  3.13846384e-01  3.03727516e-01  4.02018978e-02
   5.23405945e-04 -5.71148912e-02 -1.12941440e-01 -1.13297586e-01
  -1.52165170e-01 -1.52165170e-01]
 [ 4.89432232e-01  3.89281105e-01  2.59872676e-01  6.00345806e-02
   1.54232545e-02  1.50473290e-02  1.00272940e-02  1.62674463e-03
  -2.57137484e-03 -3.95186519e-03]
 [ 2.00068848e-01  2.00068848e-01 -4.80783849e-02 -6.36812590e-02
  -9.71147994e-02 -9.71147994e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.18635471e-01  1.18635471e-01  3.01755312e-02  2.89256421e-02
   2.89256421e-02 -2.57467466e-02 -6.19499219e-02 -1.31982454e-01
  -1.58760692e-01 -1.58760692e-01]
 [ 4.04424128e-01  4.04424128e-01 -2.23738306e-02 -2.23738306e-02
  -3.83492255e-02 -3.89688648e-02 -4.40217337e-02 -8.39881361e-02
  -1.13744629e-01 -1.17691506e-01]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	20.0
"[[ 3.26549220e-01  1.82798032e-01  1.63202874e-01  1.63202874e-01
   3.82932262e-02  8.47836607e-04  8.47836607e-04 -3.89279328e-02
  -3.89279328e-02 -6.59013574e-02]
 [ 4.01942684e-01  3.50837719e-01  3.40524861e-01  2.97796612e-01
   3.25830786e-02  3.25830786e-02  4.07074838e-03 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 4.29671568e-01  2.46927359e-01  1.67936958e-01  1.37885231e-01
  -4.52259024e-02 -4.52259024e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.47958740e-01  1.47958740e-01  1.45299051e-01  1.38902418e-01
   1.38902418e-01  1.36214673e-01  1.27574355e-01  1.27574355e-01
   1.18628316e-01 -7.10572879e-03]
 [ 3.04902401e-01  3.04902401e-01 -8.29115835e-02 -8.72666280e-02
  -1.47282304e-01 -1.86975303e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.42588549e-01  3.42588549e-01  3.13567108e-01  3.07796034e-01
   2.68500926e-01  2.68500926e-01  1.01639344e-01  8.10933426e-03
   8.10933426e-03 -6.28389801e-02]
 [ 3.78992593e-01  3.78992593e-01  1.45334414e-01  1.26366956e-01
  -9.95927992e-02 -1.00294640e-01 -1.00294640e-01 -1.14212010e-01
  -1.30787479e-01 -1.00000000e+00]
 [ 1.79129728e-01  1.79129728e-01  2.32678846e-02  2.32678846e-02
  -3.66269415e-02 -3.66269415e-02 -1.61338549e-01 -1.61338549e-01
  -1.00000000e+00 -1.00000000e+00]
 [ 1.91976138e-01  1.86182999e-01  5.67581256e-02  5.46134844e-02
   2.33676897e-02 -2.27336907e-02 -5.46363081e-02 -5.46363081e-02
  -1.00000000e+00 -1.00000000e+00]
 [ 1.66129755e-01  1.65888090e-01 -1.42485546e-01 -1.42485546e-01
  -1.45261592e-01 -1.63471083e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.68979272e-01  1.68979272e-01  3.37235164e-02 -3.25082297e-03
  -5.31559631e-03 -2.47460687e-02 -3.74370875e-02 -4.31388642e-02
  -5.22736883e-02 -5.92816402e-02]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	10.0
"[[ 5.21787294e-01  5.21787294e-01  2.36540455e-01  2.36540455e-01
   2.19281396e-01  2.19281396e-01 -7.56650610e-02 -7.56650610e-02
  -8.92536103e-02 -8.92536103e-02]
 [-3.31002556e-04 -2.50592587e-02 -2.82711650e-02 -3.58134204e-02
  -1.24056768e-01 -1.33049967e-01 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.23552819e-01  1.17152140e-01  1.15096390e-01  1.13747232e-01
   1.09263740e-01  1.03516826e-01  8.30742977e-02  8.30742977e-02
   6.64971182e-02  4.36385378e-02]
 [ 2.86245184e-01  2.86245184e-01  1.60630921e-01  1.60630921e-01
  -9.61588030e-02 -9.61588030e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.77749733e-01  1.16235444e-01  9.90882316e-02  9.90882316e-02
  -2.18807566e-02 -2.18807566e-02 -3.84889779e-02 -4.57713965e-02
  -1.00000000e+00 -1.00000000e+00]
 [ 4.71201506e-01  4.71201506e-01  3.04933165e-01  3.04933165e-01
   1.01553669e-01  1.01553669e-01  1.56784064e-02  1.56784064e-02
  -7.74736218e-02 -7.74736218e-02]
 [ 4.17010969e-01  4.09312207e-01 -6.81518605e-02 -6.81518605e-02
  -8.68048629e-02 -9.90669058e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.05170956e-01  6.07804561e-02  6.07804561e-02 -2.07611522e-02
  -2.15905058e-02 -5.87397551e-02 -5.87397551e-02 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.16476192e-01  3.10519279e-01  1.45320906e-01  1.27103663e-01
   7.78369629e-02  3.33357150e-02  2.39487735e-02  1.31320373e-02
  -4.91812763e-02 -4.91812763e-02]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	9.0
"[[ 4.63651897e-01  4.63651897e-01  5.61915407e-02  4.69834566e-02
  -2.71690106e-03 -4.65421879e-02 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 3.25102323e-01  2.98279336e-01  2.49443126e-01  5.81783188e-02
   5.54958978e-02  4.31745822e-02 -5.23375401e-02 -5.36213988e-02
  -1.29643849e-01 -1.46457000e-01]
 [ 3.93891436e-01  3.93891436e-01  1.64751430e-01  5.42570442e-03
   5.42570442e-03 -2.94834212e-04 -2.94834212e-04 -1.72570366e-01
  -1.92812642e-01 -2.15907803e-01]
 [ 2.36456740e-01  2.32716543e-01 -3.98037678e-02 -3.98037678e-02
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 1.78771439e-01  1.75584865e-01  1.60414904e-01  1.60414904e-01
   1.58269573e-02  1.58269573e-02 -9.30661065e-02 -9.36066879e-02
  -1.00000000e+00 -1.00000000e+00]
 [ 3.83099447e-01  3.83099447e-01  2.23644187e-01  2.23644187e-01
   1.28445832e-01  1.28445832e-01 -8.38767937e-02 -8.38767937e-02
  -9.23256234e-02 -9.99495428e-02]
 [ 3.03116715e-01  3.91872059e-02  2.97085891e-02 -1.05876673e-01
  -1.05876673e-01 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [ 2.94730101e-01  2.94730101e-01 -3.39441073e-02 -3.46187110e-02
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]
 [-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -1.00000000e+00
  -1.00000000e+00 -1.00000000e+00]]"	9.0
"[[ 0.19489324  0.19155647  0.18644532  0.00597618  0.00597618 -0.04019452
  -0.04437578 -1.         -1.         -1.        ]
 [ 0.25854798  0.23577363  0.23577363  0.21182396  0.17755277  0.14946565
   0.14946565  0.13696471  0.13696471  0.10357975]
 [ 0.36254404  0.36158877  0.17873902  0.03826945  0.00988147  0.00988147
  -1.         -1.         -1.         -1.        ]
 [ 0.36659309  0.36659309  0.07654314  0.07654314  0.05397166  0.05397166
  -0.03359015 -0.03359015 -0.06156858 -0.06156858]
 [ 0.4902841   0.4902841   0.3803386   0.34487202  0.34468968  0.33834738
   0.07225033  0.0679431   0.06513289 -0.04229911]
 [ 0.46782031  0.46782031  0.2203055   0.2203055   0.14386139  0.14386139
   0.11470303  0.11470303 -0.08867158 -0.08867158]
 [ 0.36869947  0.36869947  0.20874159  0.14874346 -0.01761629 -0.01761629
  -1.         -1.         -1.         -1.        ]
 [ 0.33564261  0.33564261  0.10518186  0.02759592  0.0032858  -0.03695308
  -1.         -1.         -1.         -1.        ]
 [ 0.31260708  0.18037576  0.12503201  0.0869092  -0.03637375 -0.05747281
  -1.         -1.         -1.         -1.        ]
 [-1.         -1.         -1.         -1.         -1.         -1.
  -1.         -1.         -1.         -1.        ]]"	1.0
